,token,label
519,пошкод-,O
520,жених,O
521,ерозією,O
522,що,O
523,свідчить,O
524,про,O
525,тривале,O
526,перебування,O
527,під,I-object_type
528,дією,O
529,атмосферних,O
530,опадів,O
531,Категорія,O
532,Хрести,O
533,монограми,O
534,теонімограми,O
535,Графіті,B-inscription
536,№,O
537,581,O
538,табл,O
539,ІІІ,O
540,2,O
541,Розташування,B-other
542,Знаходиться,O
543,на,I-inscription_type
544,західній,O
545,стіні,I-object_type
546,під,I-object_type
547,нішею,I-object_type
548,з,I-object_type
549,малюнком,O
550,проквіт-,O
551,лого,O
552,хреста,O
553,табл,O
554,І,O
555,Висота,O
556,від,O
557,рівня,O
558,ґрунту,O
559,126,O
560,см,O
561,відстань,O
562,від,O
563,лівого,O
564,кута,O
565,стіни,I-object_type
566,Опис,B-inscription
567,На,O
568,поверхні,O
569,личкувального,O
570,розчину,O
571,прокреслений,B-decoration
572,чотириконечний,I-decoration
573,хрест,I-decoration
574,кінці,O
575,якого,O
576,розширюються,O
577,у,I-object_type
578,вигляді,O
579,трикутників,O
580,Датування,B-dating_criteria
581,Друга,O
582,чверть,O
583,ХІ,O
584,кінець,O
585,ХV,O
586,ст.,O
587,за,O
588,формою,O
589,прорізів,O
590,сильно,O
591,пошкод-,O
592,жених,O
593,ерозією,O
594,що,O
595,свідчить,O
596,про,O
597,тривале,O
598,перебування,O
599,під,I-object_type
600,дією,O
601,атмосферних,O
602,опадів,O
603,Категорія,O
604,Хрести,O
605,монограми,O
606,теонімограми,O
607,І.2,O
608,Графіті,B-inscription
609,на,I-inscription_type
610,північному,O
611,фасаді,O
612,Софійського,O
613,собору,O
614,Графіті,B-inscription
615,№,O
616,4243,O
617,табл,O
618,ІІІ,O
619,3,O
620,Розташування,B-other
621,Знаходиться,O
622,на,I-inscription_type
623,північній,O
624,стіні,I-object_type
625,між,O
626,двома,O
627,її,O
628,середніми,O
629,висту-,O
630,пами,O
631,у,I-object_type
632,невеликому,O
633,зондажі,O
634,давнього,O
635,мурування,B-object_type
636,табл,O
637,І,O
638,Висота,O
639,від,O
640,рівня,O
641,нижнього,O
642,краю,O
643,зондажу,I-other
644,31,O
645,см,O
646,відстань,O
647,від,O
648,лівого,O
649,краю,O
650,зондажу,I-other
651,38,O
652,см,O
653,Опис,B-inscription
654,На,O
655,поверхні,O
656,торця,O
657,плінфи,I-object_type
658,простежуються,O
659,три,O
660,літери,O
661,КОН,O
662,Далі,O
663,поверхня,O
664,пошкоджена,O
665,тож,O
666,імовірно,O
667,тут,O
668,був,O
669,виконаний,O
670,запис,B-inscripiton_type
671,імені,I-epigraphic_shorthand
672,Кон[стантин,O
673,Костянтин,O
674,Схожі,O
675,написи,O
676,траплялись,O
677,на,I-inscription_type
678,фасадах,O
679,інших,O
680,церковних,O
681,споруд,O
682,Києва,O
683,наприклад,O
684,у,I-object_type
685,церкві,O
686,Спаса,O
687,на,I-inscription_type
688,Берестові26,O
689,Датування,B-dating_criteria
690,Друга,O
691,чверть,O
692,ХІ,O
693,кінець,O
694,ХV,O
695,ст.,O
696,за,O
697,формою,O
698,прорізів,O
699,сильно,O
700,пошкод-,O
701,жених,O
702,ерозією,O
703,що,O
704,свідчить,O
705,про,O
706,тривале,O
707,перебування,O
708,під,I-object_type
709,дією,O
710,атмосферних,O
711,опадів,O
712,Категорія,O
713,Пам'ятний,O
714,напис,I-inscription_type
715,І.3,O
716,Графіті,B-inscription
717,на,I-inscription_type
718,східному,O
719,фасаді,O
720,Софійського,O
721,собору,O
722,Графіті,B-inscription
723,№,O
724,4244,O
725,табл,O
726,ІІІ,O
727,4,O
728,Розташування,B-other
729,Знаходиться,O
730,на,I-inscription_type
731,північній,O
732,стороні,O
733,апсиди,I-object_type
734,Михайлівського,O
735,при-,O
736,діла,O
737,табл,O
738,І,O
739,Висота,O
740,від,O
741,рівня,O
742,ґрунту,O
743,147,O
744,см,O
745,відстань,O
746,від,O
747,правого,O
748,кута,O
749,стіни,I-object_type
750,100,O
751,см,O
752,Опис,B-inscription
753,На,O
754,поверхні,O
755,личкувального,O
756,розчину,O
757,прокреслений,B-decoration
758,простий,O
759,чотириконеч-,O
760,ний,O
761,хрест,I-decoration
762,Датування,B-dating_criteria
763,Друга,O
764,чверть,O
765,ХІ,O
766,кінець,O
767,ХV,O
768,ст.,O
769,за,O
770,формою,O
771,прорізів,O
772,сильно,O
773,пошкод-,O
774,жених,O
775,ерозією,O
776,що,O
777,свідчить,O
778,про,O
779,тривале,O
780,перебування,O
781,під,I-object_type
782,дією,O
783,атмосферних,O
784,опадів,O
785,Категорія,O
786,Хрести,O
787,монограми,O
788,теонімограми,O
789,ГРАФІТІ,B-inscription
790,ПІВНІЧНОЇ,O
791,СТОРОНИ,O
792,ЗАХІДНОЇ,O
793,ЗОВНІШНЬОЇ,O
794,ГАЛЕРЕЇ,O
795,У,O
796,цьому,O
797,розділі,O
798,розглядатимуться,O
799,епіграфічні,O
800,пам'ятки,O
801,що,O
802,знаходяться,O
803,у,I-object_type
804,ни-,O
805,нішньому,O
806,нартексі,I-object_type
807,Софійського,O
808,собору,O
809,зведеному,O
810,у,I-object_type
811,1889,O
812,р,O
813,на,I-inscription_type
814,місці,O
815,західної,O
816,зовніш-,O
817,ньої,O
818,галереї,O
819,храму,I-object_type
820,що,O
821,зруйнувалась,O
822,на,I-inscription_type
823,початок,O
824,XVII,O
825,ст.,O
826,Нині,O
827,більша,O
828,частина,I-other
829,поверхні,O
830,стін,O
831,нартексу,O
832,закрита,O
833,нейтральним,O
834,тоном,O
835,Стародавнє,O
836,мурування,B-object_type
837,та,O
838,фреску,O
839,що,O
840,увійшло,O
841,до,O
842,складу,O
843,нартексу,O
844,можемо,O
845,бачити,O
846,у,I-object_type
847,північній,O
848,стороні,O
849,західної,O
850,зовнішньої,O
851,галереї,O
852,що,O
853,містить,O
854,зовнішню,O
855,стіну,O
856,північної,O
857,сходової,I-object_type
858,вежі,I-object_type
859,фреску,O
860,внутрішньої,O
861,по-,O
862,верхні,O
863,аркбутану,O
864,та,O
865,відкриту,O
866,зондажем,O
867,невелику,O
868,ділянку,O
869,фрескового,O
870,тиньку,O
871,західної,O
872,сторони,O
873,лопатки,O
874,стіни,I-object_type
875,закритої,O
876,наприкінці,O
877,ХІ,O
878,ст.,O
879,підпірним,O
880,стовпом,O
881,під,I-object_type
882,аркбутан,I-object_type
883,ІІ.1,O
884,Графіті,B-inscription
885,на,I-inscription_type
886,фасаді,O
887,північної,O
888,сходової,I-object_type
889,вежі,I-object_type
890,На,O
891,південно,O
892,східному,O
893,фасаді,O
894,північної,O
895,сходової,I-object_type
896,вежі,I-object_type
897,Софійського,O
898,собору,O
899,табл,O
900,ІV,O
901,в,O
902,окремих,O
903,місцях,O
904,збереглись,O
905,залишки,O
906,фрескового,O
907,тиньку,O
908,проте,O
909,більшість,O
910,його,O
911,втрачена,O
912,тож,O
913,перед,O
914,очима,O
915,маємо,O
916,кладку,O
917,що,O
918,складається,O
919,з,I-object_type
920,брил,O
921,каменю,O
922,плінфи,I-object_type
923,та,O
924,личкувального,O
925,розчину,O
926,Епіграфічні,O
927,пам'ятки,O
928,що,O
929,налічують,O
930,одне,O
931,дипінті,I-inscription_type
932,та,O
933,сім,O
934,гра-,O
935,фіті,O
936,розташовані,O
937,як,O
938,на,I-inscription_type
939,поверхні,O
940,личкувального,O
941,розчину,O
942,так,O
943,і,O
944,на,I-inscription_type
945,поверхні,O
946,фрескового,O
947,тиньку,O
948,Виявленим,O
949,дипінті,I-inscription_type
950,та,O
951,графіті,B-inscription_type
952,надані,O
953,номери,O
954,від,O
955,609-го,O
956,по,O
957,616-й,O
958,табл,O
959,IV,O
960,2,O
961,Графіті,B-inscription
962,№,O
963,609,O
964,табл,O
965,V,O
966,1,O
967,Публікації,O
968,В.,O
969,Корнієнко27,O
970,Розташування,B-other
971,Знаходиться,O
972,на,I-inscription_type
973,личкувальному,O
974,розчині,O
975,фасадної,O
976,стіни,I-object_type
977,північ-,O
978,ної,O
979,сходової,I-object_type
980,вежі,I-object_type
981,табл,O
982,ІV,O
983,Висота,O
984,від,O
985,рівня,O
986,давньої,O
987,підлоги,O
988,193,O
989,см,O
990,відстань,O
991,від,O
992,лі-,O
993,вого,O
994,кута,O
995,стіни,I-object_type
996,224,O
997,см,O
998,Опис,B-inscription
999,На,O
1000,поверхні,O
1001,личкувального,O
1002,розчину,O
1003,прокреслений,B-decoration
1004,візерунок,B-decoration
1005,у,I-object_type
1006,вигляді,O
1007,подвійного,O
1008,кола,O
1009,що,O
1010,орнаментоване,O
1011,всередині,O
1012,завитками,O
1013,Не,O
1014,виключено,O
1015,що,O
1016,малюнок,B-decoration
1017,був,O
1018,зразком,O
1019,граф'ї,O
1020,для,O
1021,орнаментування,O
1022,фасаду,O
1023,вежі,I-object_type
1024,проте,O
1025,в,O
1026,подальшому,O
1027,майстри,O
1028,виконали,O
1029,на,I-inscription_type
1030,фресці,I-inscription_type
1031,інше,O
1032,зображення,I-decoration
1033,Датування,B-dating_criteria
1034,Друге,O
1035,десятиліття,O
1036,ХІ,O
1037,ст.,O
1038,за,O
1039,формою,O
1040,прорізів,O
1041,що,O
1042,виконані,O
1043,по,O
1044,си-,O
1045,рому,O
1046,личкувальному,O
1047,розчину,O
1048,Категорія,O
1049,Емблеми,O
1050,Дипінті,O
1051,№,O
1052,610,O
1053,табл,O
1054,V,O
1055,2,O
1056,Публікації,O
1057,В.,O
1058,Корнієнко28,O
1059,Розташування,B-other
1060,Знаходиться,O
1061,на,I-inscription_type
1062,личкувальному,O
1063,розчині,O
1064,фасадної,O
1065,стіни,I-object_type
1066,північ-,O
1067,ної,O
1068,сходової,I-object_type
1069,вежі,I-object_type
1070,табл,O
1071,ІV,O
1072,Висота,O
1073,від,O
1074,рівня,O
1075,давньої,O
1076,підлоги,O
1077,175,O
1078,см,O
1079,відстань,O
1080,від,O
1081,лі-,O
1082,вого,O
1083,кута,O
1084,стіни,I-object_type
1085,116,O
1086,см,O
1087,Опис,B-inscription
1088,Незважаючи,O
1089,на,I-inscription_type
1090,пошкодження,O
1091,шару,O
1092,фарби,O
1093,складові,O
1094,напису,I-preservation_state
1095,відносно,O
1096,добре,O
1097,читаються,O
1098,церкоⷡ჻тюжаꙗ,O
1099,З,O
1100,розбивкою,O
1101,на,I-inscription_type
1102,слова,O
1103,текст,O
1104,виглядає,O
1105,таким,O
1106,чином,O
1107,Церков(ь,O
1108,тюжаꙗ.,O
1109,Церква,B-monument
1110,скорботна,O
1111,Напис,O
1112,виконано,O
1113,на,I-inscription_type
1114,личкувальному,O
1115,розчині,O
1116,стіни,I-object_type
1117,Це,O
1118,свідчить,O
1119,про,O
1120,те,O
1121,що,O
1122,на,I-inscription_type
1123,момент,O
1124,виконання,O
1125,тексту,O
1126,давній,O
1127,фресковий,B-material
1128,тиньк,I-material
1129,відвалився,O
1130,Появу,O
1131,напису,I-preservation_state
1132,вірогідніше,O
1133,пов'язу-,O
1134,вати,O
1135,з,I-object_type
1136,подіями,O
1137,початку,O
1138,XV,O
1139,ст.,O
1140,коли,O
1141,у,I-object_type
1142,Великому,O
1143,князівстві,O
1144,литовському,O
1145,було,O
1146,обрано,O
1147,митрополитом,O
1148,Григорія,O
1149,Цамблака,O
1150,замість,O
1151,митрополита,O
1152,Фотія,O
1153,який,O
1154,занедбав,O
1155,головний,B-monument
1156,храм,I-monument
1157,митрополії,I-monument
1158,паче,O
1159,точію,O
1160,приходы,O
1161,и,O
1162,прибытки,O
1163,церковныа,O
1164,собираетъ,O
1165,всякое,O
1166,узорочіе,O
1167,старое,O
1168,устроеніе,O
1169,и,O
1170,вещи,O
1171,драгиа,O
1172,и,O
1173,всю,O
1174,честь,O
1175,великіа,O
1176,Кіевскіа,O
1177,церкви,O
1178,на,I-inscription_type
1179,ино,O
1180,мѣсто,O
1181,преноситъ,O
1182,идѣже,O
1183,живетъ,O
1184,еже,O
1185,есть,O
1186,во,O
1187,глаголемый,O
1188,тамо,O
1189,градъ,O
1190,Москву,O
1191,и,O
1192,се,O
1193,нынѣ,O
1194,до,O
1195,конца,O
1196,Кіевскаа,O
1197,церковь,B-monument
1198,столъ,O
1199,митрополь-,O
1200,скійб,O
1201,запустѣ,O
1202,и,O
1203,сице,O
1204,намъ,O
1205,скорбь,O
1206,и,O
1207,печаль,O
1208,веліа,O
1209,о,O
1210,велицѣй,O
1211,соборнѣи,O
1212,церкви,O
1213,"Кіевской""29",O
1214,В,O
1215,цілому,O
1216,почерк,O
1217,подібний,O
1218,до,O
1219,писемних,O
1220,пам'яток,O
1221,XIV,O
1222,XV,O
1223,ст.,O
1224,московської,O
1225,пи-,O
1226,семної,O
1227,школи30,O
1228,зокрема,O
1229,Євангелія,O
1230,1393,O
1231,р,O
1232,Київської,O
1233,Псалтирі,O
1234,1397,O
1235,р,O
1236,Євангелії,O
1237,Хит-,O
1238,рово,O
1239,початку,O
1240,XV,O
1241,ст.,O
1242,Євангелії,O
1243,Успенського,O
1244,собору,O
1245,Московського,O
1246,Кремля,O
1247,початку,O
1248,XV,O
1249,ст.,O
1250,Вплив,O
1251,цієї,O
1252,традиції,O
1253,на,I-inscription_type
1254,київську,O
1255,софійську,O
1256,писемну,O
1257,школу,O
1258,слід,O
1259,пов'язувати,O
1260,з,I-object_type
1261,перебуванням,O
1262,свити,O
1263,митрополита,O
1264,Кипріана31,O
1265,який,O
1266,з,I-object_type
1267,березня,O
1268,1396,O
1269,р,O
1270,близько,O
1271,півтора,O
1272,року,O
1273,знаходився,O
1274,у,I-object_type
1275,Києві32,O
1276,Датування,B-dating_criteria
1277,Кінець,O
1278,ХІV,O
1279,початок,O
1280,XV,O
1281,ст.,O
1282,за,O
1283,формою,O
1284,написання,O
1285,а,O
1286,з,I-object_type
1287,увігнутою,O
1288,перемичкою,O
1289,нахиленої,O
1290,ліворуч,O
1291,е,O
1292,к,O
1293,з,I-object_type
1294,нижньою,O
1295,засічкою,O
1296,прямолінійної,O
1297,р,O
1298,з,I-object_type
1299,округлою,O
1300,петлею,O
1301,що,O
1302,повністю,O
1303,знаходиться,O
1304,у,I-object_type
1305,рядку,O
1306,ц,O
1307,зі,O
1308,зміщеним,O
1309,хвостом,O
1310,Категорія,O
1311,Окремі,O
1312,слова,O
1313,та,O
1314,словосполучення,O
1315,Графіті,B-inscription
1316,№,O
1317,611,O
1318,табл,O
1319,VІ,O
1320,2,O
1321,Публікації,O
1322,В.,O
1323,Корнієнко33,O
1324,Розташування,B-other
1325,Знаходиться,O
1326,на,I-inscription_type
1327,фресковому,O
1328,тиньку,O
1329,фасадної,O
1330,стіни,I-object_type
1331,північної,O
1332,сходової,I-object_type
1333,вежі,I-object_type
1334,табл,O
1335,ІV,O
1336,Висота,O
1337,від,O
1338,рівня,O
1339,давньої,O
1340,підлоги,O
1341,182,O
1342,см,O
1343,відстань,O
1344,від,O
1345,лівого,O
1346,кута,O
1347,стіни,I-object_type
1348,165	5,O
1349,см,O
1350,Опис,B-inscription
1351,На,O
1352,фрагменті,O
1353,фрескового,O
1354,тиньку,O
1355,простежуються,O
1356,літери,O
1357,ПО,O
1358,які,O
1359,найімо-,O
1360,вірніше,O
1361,розглядати,O
1362,як,O
1363,частину,O
1364,дієслова,O
1365,прохання,O
1366,по[мози,O
1367,поможи,O
1368,Датування,B-dating_criteria
1369,Друга,O
1370,чверть,O
1371,ХІ,O
1372,кінець,O
1373,XІІI,O
1374,ст.,O
1375,за,O
1376,формою,O
1377,написання,O
1378,п,O
1379,з,I-object_type
1380,висту-,O
1381,пом,O
1382,зверху,O
1383,Категорія,O
1384,Молитовний,O
1385,напис,I-inscription_type
1386,Графіті,B-inscription
1387,№,O
1388,612,O
1389,табл,O
1390,VІ,O
1391,1,O
1392,Публікації,O
1393,В.,O
1394,Корнієнко34,O
1395,Розташування,B-other
1396,Знаходиться,O
1397,на,I-inscription_type
1398,фресковому,O
1399,тиньку,O
1400,фасадної,O
1401,стіни,I-object_type
1402,північної,O
1403,сходової,I-object_type
1404,вежі,I-object_type
1405,табл,O
1406,ІV,O
1407,Висота,O
1408,від,O
1409,рівня,O
1410,давньої,O
1411,підлоги,O
1412,138,O
1413,см,O
1414,відстань,O
1415,від,O
1416,лівого,O
1417,кута,O
1418,стіни,I-object_type
1419,5,O
1420,см,O
1421,Опис,B-inscription
1422,На,O
1423,фрагменті,O
1424,фрескового,O
1425,тиньку,O
1426,простежується,O
1427,малюнок,B-decoration
1428,руки,O
1429,що,O
1430,три-,O
1431,має,O
1432,чотириконечний,I-decoration
1433,хрест,I-decoration
1434,Вочевидь,O
1435,це,O
1436,незначна,O
1437,збережена,O
1438,частина,I-other
1439,більшого,O
1440,за,O
1441,роз-,O
1442,мірами,O
1443,малюнка,O
1444,святого,O
1445,Датування,B-dating_criteria
1446,Друга,O
1447,чверть,O
1448,ХІ,O
1449,кінець,O
1450,XVI,O
1451,ст.,O
1452,за,O
1453,формою,O
1454,прорізів,O
1455,Категорія,O
1456,Зображення,O
1457,ангелів,O
1458,та,O
1459,святих,O
1460,Графіті,B-inscription
1461,№,O
1462,613,O
1463,табл,O
1464,VІ,O
1465,3,O
1466,Публікації,O
1467,В.,O
1468,Корнієнко35,O
1469,Розташування,B-other
1470,Знаходиться,O
1471,на,I-inscription_type
1472,личкувальному,O
1473,розчині,O
1474,фасадної,O
1475,стіни,I-object_type
1476,північ-,O
1477,ної,O
1478,сходової,I-object_type
1479,вежі,I-object_type
1480,табл,O
1481,ІV,O
1482,Висота,O
1483,від,O
1484,рівня,O
1485,давньої,O
1486,підлоги,O
1487,154	5,O
1488,см,O
1489,відстань,O
1490,від,O
1491,лівого,O
1492,кута,O
1493,стіни,I-object_type
1494,292,O
1495,см,O
1496,Опис,B-inscription
1497,По,O
1498,личкувальному,O
1499,розчину,O
1500,був,O
1501,прокреслений,B-decoration
1502,малюнок,B-decoration
1503,чотириконечного,O
1504,хреста,O
1505,кінці,O
1506,якого,O
1507,мали,O
1508,розширення,O
1509,у,I-object_type
1510,вигляді,O
1511,трикутників,O
1512,Датування,B-dating_criteria
1513,Друге,O
1514,десятиліття,O
1515,ХІ,O
1516,ст.,O
1517,за,O
1518,формою,O
1519,прорізів,O
1520,що,O
1521,виконані,O
1522,по,O
1523,си-,O
1524,рому,O
1525,личкувальному,O
1526,розчину,O
1527,Категорія,O
1528,Хрести,O
1529,монограми,O
1530,теонімограми,O
1531,Графіті,B-inscription
1532,№,O
1533,614,O
1534,табл,O
1535,VІІ,O
1536,1,O
1537,Публікації,O
1538,В.,O
1539,Корнієнко36,O
1540,Розташування,B-other
1541,Знаходиться,O
1542,на,I-inscription_type
1543,фресковому,O
1544,тиньку,O
1545,фасадної,O
1546,стіни,I-object_type
1547,північної,O
1548,сходової,I-object_type
1549,вежі,I-object_type
1550,табл,O
1551,ІV,O
1552,Висота,O
1553,від,O
1554,рівня,O
1555,сучасної,O
1556,підлоги,O
1557,31,O
