token	label
Висота	O
від	O
рівня	O
ґрунту	O
129	O
см	O
відстань	O
від	O
лівого	O
кута	O
стіни	O
30	O
см	O

Опис	B-inscription
На	O
поверхні	O
личкувального	O
розчину	O
прокреслені	O
літери	O
ЛА	O
Поверхня	O

стіни	O
довкола	O
них	O
вказує	O
що	O
напис	B-inscription
із	O
самого	O
початку	O
містив	O
тільки	O
ці	O
дві	O
складові	O

Датування	B-inscription
Друга	O
чверть	O
ХІ	O
кінець	O
ХV	O
ст.	O
за	O
формою	O
написання	O
а	O
з	O
петлею	O

із	O
заломом	O

Категорія	O
Абетки	O
склади	O
та	O
окремі	O
літери	O

Графіті	B-inscription
№	O
580	O
табл	O
ІІІ	O
1	O

Розташування	B-inscription
Знаходиться	O
на	O
західній	O
стіні	O
під	O
нішею	O
з	O
малюнком	O
проквіт-	O

лого	O
хреста	O
табл	O
І	O
Висота	O
від	O
рівня	O
ґрунту	O
118	O
см	O
відстань	O
від	O
лівого	O
кута	O
стіни	O

Опис	B-inscription
На	O
поверхні	O
личкувального	O
розчину	O
прокреслений	B-inscription
простий	O
чотириконеч-	O

ний	O
хрест	B-inscription

Датування	B-inscription
Друга	O
чверть	O
ХІ	O
кінець	O
ХV	O
ст.	O
за	O
формою	O
прорізів	O
сильно	O
пошкод-	O

жених	O
ерозією	O
що	O
свідчить	O
про	O
тривале	O
перебування	O
під	O
дією	O
атмосферних	O
опадів	O

Категорія	O
Хрести	O
монограми	O
теонімограми	O

Графіті	B-inscription
№	O
581	O
табл	O
ІІІ	O
2	O

Розташування	B-inscription
Знаходиться	O
на	O
західній	O
стіні	O
під	O
нішею	O
з	O
малюнком	O
проквіт-	O

лого	O
хреста	O
табл	O
І	O
Висота	O
від	O
рівня	O
ґрунту	O
126	O
см	O
відстань	O
від	O
лівого	O
кута	O
стіни	O

Опис	B-inscription
На	O
поверхні	O
личкувального	O
розчину	O
прокреслений	B-inscription
чотириконечний	O
хрест	B-inscription

кінці	O
якого	O
розширюються	O
у	O
вигляді	O
трикутників	O

Датування	B-inscription
Друга	O
чверть	O
ХІ	O
кінець	O
ХV	O
ст.	O
за	O
формою	O
прорізів	O
сильно	O
пошкод-	O

жених	O
ерозією	O
що	O
свідчить	O
про	O
тривале	O
перебування	O
під	O
дією	O
атмосферних	O
опадів	O

Категорія	O
Хрести	O
монограми	O
теонімограми	O

І.2	O
Графіті	B-inscription
на	O
північному	O
фасаді	O
Софійського	O
собору	O

Графіті	B-inscription
№	O
4243	O
табл	O
ІІІ	O
3	O

Розташування	B-inscription
Знаходиться	O
на	O
північній	O
стіні	O
між	O
двома	O
її	O
середніми	O
висту-	O

пами	O
у	O
невеликому	O
зондажі	O
давнього	O
мурування	B-inscription
табл	O
І	O
Висота	O
від	O
рівня	O
нижнього	O

краю	O
зондажу	O
31	O
см	O
відстань	O
від	O
лівого	O
краю	O
зондажу	O
38	O
см	O

Опис	B-inscription
На	O
поверхні	O
торця	O
плінфи	O
простежуються	O
три	O
літери	O
КОН	O
Далі	O
поверхня	O

пошкоджена	O
тож	O
імовірно	O
тут	O
був	O
виконаний	O
запис	B-inscription
імені	O
Кон[стантин	O
Костянтин	O

Схожі	O
написи	B-inscription
траплялись	O
на	O
фасадах	O
інших	O
церковних	O
споруд	O
Києва	O
наприклад	O
у	O

церкві	O
Спаса	O
на	O
Берестові26	O

Датування	B-inscription
Друга	O
чверть	O
ХІ	O
кінець	O
ХV	O
ст.	O
за	O
формою	O
прорізів	O
сильно	O
пошкод-	O

жених	O
ерозією	O
що	O
свідчить	O
про	O
тривале	O
перебування	O
під	O
дією	O
атмосферних	O
опадів	O

Категорія	O
Пам'ятний	O
напис	B-inscription

І.3	O
Графіті	B-inscription
на	O
східному	O
фасаді	O
Софійського	O
собору	O

Графіті	B-inscription
№	O
4244	O
табл	O
ІІІ	O
4	O

Розташування	B-inscription
Знаходиться	O
на	O
північній	O
стороні	O
апсиди	O
Михайлівського	O
при-	O

діла	O
табл	O
І	O
Висота	O
від	O
рівня	O
ґрунту	O
147	O
см	O
відстань	O
від	O
правого	O
кута	O
стіни	O
100	O
см	O

Опис	B-inscription
На	O
поверхні	O
личкувального	O
розчину	O
прокреслений	B-inscription
простий	O
чотириконеч-	O

ний	O
хрест	B-inscription

Датування	B-inscription
Друга	O
чверть	O
ХІ	O
кінець	O
ХV	O
ст.	O
за	O
формою	O
прорізів	O
сильно	O
пошкод-	O

жених	O
ерозією	O
що	O
свідчить	O
про	O
тривале	O
перебування	O
під	O
дією	O
атмосферних	O
опадів	O

Категорія	O
Хрести	O
монограми	O
теонімограми	O

ГРАФІТІ	B-inscription
ПІВНІЧНОЇ	O
СТОРОНИ	O
ЗАХІДНОЇ	O
ЗОВНІШНЬОЇ	O
ГАЛЕРЕЇ	O

У	O
цьому	O
розділі	O
розглядатимуться	O
епіграфічні	O
пам'ятки	O
що	O
знаходяться	O
у	O
ни-	O

нішньому	O
нартексі	O
Софійського	O
собору	O
зведеному	O
у	O
1889	O
р	O
на	O
місці	O
західної	O
зовніш-	O

ньої	O
галереї	O
храму	O
що	O
зруйнувалась	O
на	O
початок	O
XVII	O
ст.	O
Нині	O
більша	O
частина	O

поверхні	O
стін	O
нартексу	O
закрита	O
нейтральним	O
тоном	O
Стародавнє	O
мурування	B-inscription
та	O
фреску	O

що	O
увійшло	O
до	O
складу	O
нартексу	O
можемо	O
бачити	O
у	O
північній	O
стороні	O
західної	O
зовнішньої	O

галереї	O
що	O
містить	O
зовнішню	O
стіну	O
північної	O
сходової	O
вежі	O
фреску	O
внутрішньої	O
по-	O

верхні	O
аркбутану	O
та	O
відкриту	O
зондажем	O
невелику	O
ділянку	O
фрескового	O
тиньку	O
західної	O

сторони	O
лопатки	O
стіни	O
закритої	O
наприкінці	O
ХІ	O
ст.	O
підпірним	O
стовпом	O
під	O
аркбутан	B-inscription

ІІ.1	O
Графіті	B-inscription
на	O
фасаді	O
північної	O
сходової	O
вежі	O

На	O
південно	O
східному	O
фасаді	O
північної	O
сходової	O
вежі	O
Софійського	O
собору	O
табл	O

ІV	O
в	O
окремих	O
місцях	O
збереглись	O
залишки	O
фрескового	O
тиньку	O
проте	O
більшість	O
його	O

втрачена	O
тож	O
перед	O
очима	O
маємо	O
кладку	O
що	O
складається	O
з	O
брил	O
каменю	O
плінфи	O
та	O

личкувального	O
розчину	O
Епіграфічні	O
пам'ятки	O
що	O
налічують	O
одне	O
дипінті	O
та	O
сім	O
гра-	O

фіті	O
розташовані	O
як	O
на	O
поверхні	O
личкувального	O
розчину	O
так	O
і	O
на	O
поверхні	O
фрескового	O

тиньку	O
Виявленим	O
дипінті	O
та	O
графіті	B-inscription
надані	O
номери	O
від	O
609-го	O
по	O
616-й	O
табл	O
IV	O
2	O

Графіті	B-inscription
№	O
609	O
табл	O
V	O
1	O

Публікації	O
В.	O
Корнієнко27	O

Розташування	B-inscription
Знаходиться	O
на	O
личкувальному	O
розчині	O
фасадної	O
стіни	O
північ-	O

ної	O
сходової	O
вежі	O
табл	O
ІV	O
Висота	O
від	O
рівня	O
давньої	O
підлоги	O
193	O
см	O
відстань	O
від	O
лі-	O

вого	O
кута	O
стіни	O
224	O
см	O

Опис	B-inscription
На	O
поверхні	O
личкувального	O
розчину	O
прокреслений	B-inscription
візерунок	B-inscription
у	O
вигляді	O

подвійного	O
кола	O
що	O
орнаментоване	O
всередині	O
завитками	O
Не	O
виключено	O
що	O
малюнок	O

був	O
зразком	O
граф'ї	O
для	O
орнаментування	O
фасаду	O
вежі	O
проте	O
в	O
подальшому	O
майстри	O

виконали	O
на	O
фресці	O
інше	O
зображення	O

Датування	B-inscription
Друге	O
десятиліття	O
ХІ	O
ст.	O
за	O
формою	O
прорізів	O
що	O
виконані	O
по	O
си-	O

рому	O
личкувальному	O
розчину	O

Категорія	O
Емблеми	O

Дипінті	O
№	O
610	O
табл	O
V	O
2	O

Публікації	O
В.	O
Корнієнко28	O

Розташування	B-inscription
Знаходиться	O
на	O
личкувальному	O
розчині	O
фасадної	O
стіни	O
північ-	O

ної	O
сходової	O
вежі	O
табл	O
ІV	O
Висота	O
від	O
рівня	O
давньої	O
підлоги	O
175	O
см	O
відстань	O
від	O
лі-	O

вого	O
кута	O
стіни	O
116	O
см	O

Опис	B-inscription
Незважаючи	O
на	O
пошкодження	O
шару	O
фарби	O
складові	O
напису	B-inscription
відносно	O

добре	O
читаються	O

церкоⷡ჻тюжаꙗ	O

З	O
розбивкою	O
на	O
слова	B-inscription
текст	O
виглядає	O
таким	O
чином	O

Церков(ь	O
тюжаꙗ.	O

Церква	B-inscription
скорботна	O

Напис	O
виконано	O
на	O
личкувальному	O
розчині	O
стіни	O
Це	O
свідчить	O
про	O
те	O
що	O
на	O
момент	O

виконання	O
тексту	O
давній	O
фресковий	B-inscription
тиньк	B-inscription
відвалився	O
Появу	O
напису	B-inscription
вірогідніше	O
пов'язу-	O

вати	O
з	O
подіями	O
початку	O
XV	O
ст.	O
коли	O
у	O
Великому	O
князівстві	O
литовському	O
було	O
обрано	O

митрополитом	O
Григорія	O
Цамблака	O
замість	O
митрополита	O
Фотія	O
який	O
занедбав	O
головний	O

храм	O
митрополії	O
паче	O
точію	O
приходы	O
и	O
прибытки	O
церковныа	O
собираетъ	O
всякое	O
узорочіе	O
старое	O

устроеніе	O
и	O
вещи	O
драгиа	O
и	O
всю	O
честь	O
великіа	O
Кіевскіа	O
церкви	O
на	O
ино	O
мѣсто	O
преноситъ	O
идѣже	O
живетъ	O

еже	O
есть	O
во	O
глаголемый	O
тамо	O
градъ	O
Москву	O
и	O
се	O
нынѣ	O
до	O
конца	O
Кіевскаа	O
церковь	B-inscription
столъ	O
митрополь-	O

скійб	O
запустѣ	O
и	O
сице	O
намъ	O
скорбь	O
и	O
печаль	O
веліа	O
о	O
велицѣй	O
соборнѣи	O
церкви	O
"Кіевской""29"	O

В	O
цілому	O
почерк	O
подібний	O
до	O
писемних	O
пам'яток	O
XIV	O
XV	O
ст.	O
московської	O
пи-	O

семної	O
школи30	O
зокрема	O
Євангелія	O
1393	O
р	O
Київської	O
Псалтирі	O
1397	O
р	O
Євангелії	O
Хит-	O

рово	O
початку	O
XV	O
ст.	O
Євангелії	O
Успенського	O
собору	O
Московського	O
Кремля	O
початку	O

XV	O
ст.	O
Вплив	O
цієї	O
традиції	O
на	O
київську	O
софійську	O
писемну	O
школу	O
слід	O
пов'язувати	O

з	O
перебуванням	O
свити	O
митрополита	O
Кипріана31	O
який	O
з	O
березня	O
1396	O
р	O
близько	O
півтора	O

року	O
знаходився	O
у	O
Києві32	O

Датування	B-inscription
Кінець	O
ХІV	O
початок	O
XV	O
ст.	O
за	O
формою	O
написання	O
а	O
з	O
увігнутою	O

перемичкою	O
нахиленої	O
ліворуч	O
е	O
к	O
з	O
нижньою	O
засічкою	O
прямолінійної	O
р	O
з	O
округлою	O

петлею	O
що	O
повністю	O
знаходиться	O
у	O
рядку	O
ц	O
зі	O
зміщеним	O
хвостом	O

Категорія	O
Окремі	O
слова	B-inscription
та	O
словосполучення	O

Графіті	B-inscription
№	O
611	O
табл	O
VІ	O
2	O

Публікації	O
В.	O
Корнієнко33	O

Розташування	B-inscription
Знаходиться	O
на	O
фресковому	O
тиньку	O
фасадної	O
стіни	O
північної	O

сходової	O
вежі	O
табл	O
ІV	O
Висота	O
від	O
рівня	O
давньої	O
підлоги	O
182	O
см	O
відстань	O
від	O
лівого	O

кута	O
стіни	O
"165	5"	O
см	O

Опис	B-inscription
На	O
фрагменті	O
фрескового	O
тиньку	O
простежуються	O
літери	O
ПО	O
які	O
найімо-	O

вірніше	O
розглядати	O
як	O
частину	O
дієслова	B-inscription
прохання	I-inscription
по[мози	O
поможи	O

Датування	B-inscription
Друга	O
чверть	O
ХІ	O
кінець	O
XІІI	O
ст.	O
за	O
формою	O
написання	O
п	O
з	O
висту-	O

пом	O
зверху	O

Категорія	O
Молитовний	O
напис	B-inscription

Графіті	B-inscription
№	O
612	O
табл	O
VІ	O
1	O

Публікації	O
В.	O
Корнієнко34	O

Розташування	B-inscription
Знаходиться	O
на	O
фресковому	O
тиньку	O
фасадної	O
стіни	O
північної	O

сходової	O
вежі	O
табл	O
ІV	O
Висота	O
від	O
рівня	O
давньої	O
підлоги	O
138	O
см	O
відстань	O
від	O
лівого	O

кута	O
стіни	O
5	O
см	O

Опис	B-inscription
На	O
фрагменті	O
фрескового	O
тиньку	O
простежується	O
малюнок	O
руки	O
що	O
три-	O

має	O
чотириконечний	O
хрест	B-inscription
Вочевидь	O
це	O
незначна	O
збережена	O
частина	O
більшого	O
за	O
роз-	O

мірами	O
малюнка	O
святого	O

Датування	B-inscription
Друга	O
чверть	O
ХІ	O
кінець	O
XVI	O
ст.	O
за	O
формою	O
прорізів	O

Категорія	O
Зображення	O
ангелів	O
та	O
святих	O

Графіті	B-inscription
№	O
613	O
табл	O
VІ	O
3	O

Публікації	O
В.	O
Корнієнко35	O

Розташування	B-inscription
Знаходиться	O
на	O
личкувальному	O
розчині	O
фасадної	O
стіни	O
північ-	O

ної	O
сходової	O
вежі	O
табл	O
ІV	O
Висота	O
від	O
рівня	O
давньої	O
підлоги	O
"154	5"	O
см	O
відстань	O
від	O

лівого	O
кута	O
стіни	O
292	O
см	O

Опис	B-inscription
По	O
личкувальному	O
розчину	O
був	O
прокреслений	B-inscription
малюнок	O
чотириконечного	O

хреста	O
кінці	O
якого	O
мали	O
розширення	O
у	O
вигляді	O
трикутників	O

Датування	B-inscription
Друге	O
десятиліття	O
ХІ	O
ст.	O
за	O
формою	O
прорізів	O
що	O
виконані	O
по	O
си-	O

рому	O
личкувальному	O
розчину	O

Категорія	O
Хрести	O
монограми	O
теонімограми	O

Графіті	B-inscription
№	O
614	O
табл	O
VІІ	O
1	O

Публікації	O
В.	O
Корнієнко36	O

Розташування	B-inscription
Знаходиться	O
на	O
фресковому	O
тиньку	O
фасадної	O
стіни	O
північної	O

сходової	O
вежі	O
табл	O
ІV	O
Висота	O
від	O
рівня	O
сучасної	O
підлоги	O
31	O
см	O
відстань	O
від	O
лівого	O

кута	O
стіни	O
472	O
см	O

Опис	B-inscription
Верхня	O
частина	O
малюнка	O
знищена	O
внаслідок	O
обвалу	O
тиньку	O
простежу-	O

ються	O
тільки	O
зображення	O
ступнів	O
людини	O
з	O
позначенням	O
пальців	O
що	O
зверху	O
прикриті	O

довгим	O
одягом	O
один	O
кінець	O
якого	O
вільно	O
звисає	O
праворуч	O

В	O
цілому	O
сюжет	O
цього	O
малюнка	O
дуже	O
нагадує	O
зображення	O
архангела	O
Гавриїла	O
в	O

мозаїчному	O
сюжеті	O
Благовіщення	O
Софійського	O
собору37	O
Така	O
подібність	O
дозволяє	O

припустити	O
що	O
невідомий	O
автор	O
намагався	O
зобразити	O
сюжет	O
побачений	O
ним	O
у	O
стінах	O

храму	O
під	O
час	O
богослужіння	O
Наявний	O
фрагмент	O
малюнку	O
виконаний	O
на	O
високому	O
про-	O

фесійному	O
рівні	O
що	O
вказує	O
на	O
руку	O
досвідченого	O
художника	O

Датування	B-inscription
Друга	O
чверть	O
ХІ	O
кінець	O
XVI	O
ст.	O
за	O
формою	O
прорізів	O

Категорія	O
Зображення	O
ангелів	O
та	O
святих	O

Графіті	B-inscription
№	O
615	O
табл	O
VІ	O
4	O

Публікації	O
В.	O
Корнієнко38	O

Розташування	B-inscription
Знаходиться	O
на	O
фресковому	O
тиньку	O
фасадної	O
стіни	O
північної	O

сходової	O
вежі	O
табл	O
ІV	O
Висота	O
від	O
рівня	O
давньої	O
підлоги	O
101	O
см	O
відстань	O
від	O
лівого	O

кута	O
стіни	O
410	O
см	O

Опис	B-inscription
Верхня	O
частина	O
малюнка	O
не	O
збереглась	O
проте	O
за	O
наявними	O
фрагментами	O

можемо	O
встановити	O
що	O
тут	O
було	O
зображено	O
коня	O
добре	O
простежується	O
лінія	O
тулуба	O

та	O
ноги	O
тварини	O

Датування	B-inscription
Друга	O
чверть	O
ХІ	O
кінець	O
XVI	O
ст.	O
за	O
формою	O
прорізів	O

Категорія	O
Зооморфні	O
зображення	O

Графіті	B-inscription
№	O
616	O
табл	O
VІІ	O
2	O

Публікації	O
В.	O
Корнієнко39	O

Розташування	B-inscription
Знаходиться	O
на	O
личкувальному	O
розчині	O
фасадної	O
стіни	O
північ-	O

ної	O
сходової	O
вежі	O
табл	O
ІV	O
Висота	O
від	O
рівня	O
сучасної	O
підлоги	O
"152	5"	O
см	O
відстань	O
від	O

лівого	O
кута	O
стіни	O
382	O
см	O

Опис	B-inscription
На	O
поверхні	O
личкувального	O
розчину	O
подвійною	O
рискою	O
прокреслена	O

овальна	O
фігура	O
що	O
дещо	O
нагадує	O
підкову	O

Датування	B-inscription
Друге	O
десятиліття	O
ХІ	O
ст.	O
за	O
формою	O
прорізів	O
що	O
виконані	O
по	O
си-	O

рому	O
личкувальному	O
розчину	O

Категорія	O
Емблеми	O

ІІ.2	O
Графіті	B-inscription
на	O
західній	O
стороні	O
північної	O
лопатки	O
стіни	O

Фреска	B-inscription
на	O
західній	O
стороні	O
північної	O
лопатки	O
стіни	O
наразі	O
повністю	O
закрита	O

кладкою	O
підпірного	O
стовпа	O
під	O
аркбутан	B-inscription
зведеного	O
наприкінці	O
ХІ	O
ст.40	O
Для	O
дослід-	O

ження	O
доступна	O
тільки	O
невеличка	O
ділянка	O
зондажу	O
відкритого	O
реставраторами	O
на	O

висоті	O
172	O
см	O
до	O
нижнього	O
краю	O
зондажу	O
від	O
рівня	O
шиферних	O
плит	O
стародавньої	O

підлоги	O
Зважаючи	O
на	O
інформацію	O
графіті	B-inscription
№	O
4250	O
на	O
фресці	O
наймовірніше	O
був	O
зоб-	O

ражений	O
св	O
Даниїл	O
Стовпник	O
Загалом	O
у	O
невеликому	O
відкритому	O
зондажем	O
полі	O
дав-	O

ньої	O
фрески	O
збереглось	O
шість	O
давніх	O
графіті	B-inscription
яким	O
надано	O
номери	O
від	O
4245-го	O
по	O

Графіті	B-inscription
№	O
4245	O
табл	O
VІІІ	O
1	O

Розташування	B-inscription
Висота	O
від	O
нижнього	O
краю	O
зондажу	O
5	O
см	O
відстань	O
від	O
лівого	O

краю	O
зондажу	O
4	O
см	O

Опис	B-inscription
На	O
поверхні	O
фрескового	O
тиньку	O
лівим	O
боком	O
до	O
глядача	O
прокреслене	O
схе-	O

матичне	O
зображення	O
воїна	O
який	O
правою	O
рукою	O
вертикально	O
тримає	O
довгий	O
спис	O
Ліва	O

частина	O
малюнку	O
знищена	O
обвалом	O
тиньку	O
проте	O
за	O
збереженими	O
фрагментами	O
мо-	O

жемо	O
встановити	O
що	O
обличчя	O
воїна	O
було	O
деталізоване	O
збереглись	O
частина	O
ока	O
та	O

носу	O
на	O
голові	O
помітне	O
курчаве	O
волосся	O

Датування	B-inscription
Друга	O
чверть	O
кінець	O
ХІ	O
ст.	O
за	O
особливостями	O
розташування	O

Категорія	O
Антропоморфні	O
зображення	O

Графіті	B-inscription
№	O
4246	O
табл	O
VІІІ	O
2	O

Розташування	B-inscription
Висота	O
від	O
нижнього	O
краю	O
зондажу	O
7	O
см	O
відстань	O
від	O
лівого	O

краю	O
зондажу	O
"8	5"	O
см	O

Опис	B-inscription
Права	O
частина	O
напису	B-inscription
закрита	O
кладкою	O
кінця	O
ХІ	O
ст.	O
простежуються	O

тільки	O
п'ять	O
літер	O
початку	O
рядка	O

мцаіꙁ----	O

З	O
розбивкою	O
на	O
слова	B-inscription
та	O
відновленням	O
закритих	O
фрагментів	O
текст	O
можемо	O
ре-	O

конструювати	O
таким	O
чином	O

ром	O
цих	O
рядків	O
у	O
2010	O
р	O
Тоді	O
було	O
виявлено	O
давню	O
шиферну	O
підлогу	O
ХІ	O
ст.	O
відкриту	O
ще	O
у	O
1930-х	O
рр	O

проте	O
пізніше	O
закриту	O
чавунними	O
плитами	O
на	O
засипці	O
забрудненого	O
піску	O
Тоді	O
ж	O
у	O
2010	O
р	O
Р.	O
Гуцуля-	O

ком	O
були	O
проведені	O
аналізи	O
розчинів	O
з	O
цієї	O
частини	O
собору	O
які	O
й	O
дозволили	O
встановити	O
приблизний	O

вік	O
побудови	O
підпірного	O
стовпа	O
під	O
аркбутан	B-inscription
Дякую	O
Р.	O
Гуцуляку	O
за	O
надану	O
інформацію	O

М(ѣсѧ)ца	O
із{ока	O

Місяця	O
червня	O

Прикметне	O
що	O
в	O
написі	O
згадується	O
слов'янська	O
форма	O
назви	O
місяця	O
изокъ	O
за-	O

мість	O
очікуваного	O
июнь	O

Датування	B-inscription
Друга	O
чверть	O
кінець	O
ХІ	O
ст.	O
за	O
особливостями	O
розташування	O

Категорія	O
Пам'ятний	O
напис	B-inscription

Графіті	B-inscription
№	O
4247	O
табл	O
VІІІ	O
3	O

Розташування	B-inscription
Висота	O
від	O
нижнього	O
краю	O
зондажу	O
9	O
см	O
відстань	O
від	O
лівого	O

краю	O
зондажу	O
"8	5"	O
см	O

Опис	B-inscription
Права	O
частина	O
напису	B-inscription
закрита	O
кладкою	O
кінця	O
ХІ	O
ст.	O
простежуються	O

тільки	O
чотири	O
літери	O
початку	O
рядка	O
ог.	O

Датування	B-inscription
Друга	O
чверть	O
кінець	O
ХІ	O
ст.	O
за	O
особливостями	O
розташування	O

Категорія	O
Фрагмент	O
напису	B-inscription

Графіті	B-inscription
№	O
4248	O
табл	O
VІІІ	O
4	O

Розташування	B-inscription
Висота	O
від	O
нижнього	O
краю	O
зондажу	O
5	O
см	O
відстань	O
від	O
лівого	O

краю	O
зондажу	O
10	O
см	O

Опис	B-inscription
На	O
поверхні	O
стіни	O
простежується	O
простий	O
чотириконечний	O
хрест	B-inscription

Датування	B-inscription
Друга	O
чверть	O
кінець	O
ХІ	O
ст.	O
за	O
особливостями	O
розташування	O

Категорія	O
Хрести	O
монограми	O
теонімограми	O

Графіті	B-inscription
№	O
4249	O
табл	O
VІІІ	O
5	O

Розташування	B-inscription
Висота	O
від	O
нижнього	O
краю	O
зондажу	O
3	O
см	O
відстань	O
від	O
лівого	O

краю	O
зондажу	O
8	O
см	O

Опис	B-inscription
Права	O
частина	O
пошкоджена	O
вибоєм	O
проте	O
за	O
наявними	O
фрагментами	O
мо-	O

жемо	O
встановити	O
що	O
тут	O
була	O
прокреслена	O
літера	O
М.	O

Датування	B-inscription
Друга	O
чверть	O
кінець	O
ХІ	O
