Графіті №,табл,Розташування,Опис,Датування,Категорія
4246 ,"VІІІ, 2","['Висота', 'краю', 'зондажу', 'см', 'відстань', 'краю', 'зондажу', 'см']","Права частина напису закрита кладкою кінця ХІ ст., простежуються тільки п'ять літер початку рядка: мцаіꙁ---- З розбивкою на слова та відновленням закритих фрагментів текст можемо ре- конструювати таким чином: ром цих рядків у 2010 р. Тоді було виявлено давню шиферну підлогу ХІ ст., відкриту ще у 1930-х рр., проте пізніше закриту чавунними плитами на засипці забрудненого піску. Тоді ж, у 2010 р., Р. Гуцуля- ком були проведені аналізи розчинів з цієї частини собору, які й дозволили встановити приблизний вік побудови підпірного стовпа під аркбутан. Дякую Р. Гуцуляку за надану інформацію. М(ѣсѧ)ца із{ока}... Місяця червня... Прикметне, що в написі згадується слов'янська форма назви місяця изокъ, за- мість очікуваного июнь.","['чверть', 'кінець', 'ст.', 'особливостями', 'розташування']",['напис']
4247 ,"VІІІ, 3","['Висота', 'краю', 'зондажу', 'см', 'відстань', 'краю', 'зондажу', 'см']","Права частина напису закрита кладкою кінця ХІ ст., простежуються тільки чотири літери початку рядка: ог.","['чверть', 'кінець', 'ст.', 'особливостями', 'розташування']","['Фрагмент', 'напису']"
4248 ,"VІІІ, 4","['Висота', 'краю', 'зондажу', 'см', 'відстань', 'краю', 'зондажу', 'см']",На поверхні стіни простежується простий чотириконечний хрест.,"['чверть', 'кінець', 'ст.', 'особливостями', 'розташування']","['Хрести', 'монограми', 'теонімограми']"
4249 ,"VІІІ, 5","['Висота', 'краю', 'зондажу', 'см', 'відстань', 'краю', 'зондажу', 'см']","Права частина пошкоджена вибоєм, проте за наявними фрагментами мо- жемо встановити, що тут була прокреслена літера М.","['чверть', 'кінець', 'ст.', 'особливостями', 'розташування']","['Абетки', 'склади', 'літери']"
4250 ,"ІХ, 1","['Висота', 'краю', 'зондажу', 'см', 'відстань', 'краю', 'зондажу', 'см']","Нижня частина напису закрита кладкою кінця ХІ ст., збереглись тільки чотири знаки виконаного у стовпчик тексту: а⃝ | да | н- З розбивкою на слова та відновленням закритих фрагментів текст можна пред- ставити таким чином: О а(гиосъ) Дан{иилъ}. Святий Даниїл. Зважаючи на інформацію графіті, на фресці найвірогідніше зображений св. Да- ниїл Стовпник, однак через закриття поверхні фрески пізнішою кладкою перевірити іконографічну відповідність зображеному тут святому не виявляється за можливе. Напис частково пошкоджений малюнком воїна (№ 4245).","['чверть', 'кінець', 'ст.', 'особливостями', 'розташування']","['Підпис', 'образу', 'ІІ.3', 'Графіті', 'стороні', 'поверхні', 'аркбутана', 'ділянка', 'тиньку', 'образом', 'мученика', 'медальйоні', 'частина', 'медальйону', 'підставі', 'інформації', 'графіті', '№', 'образ', 'святого', 'Ми-', 'колай', 'мученик', 'ділянці', 'графіті', 'мери']"
4251 ,"ІХ, 2","['Висота', 'підлоги', 'см', 'відстань', 'ребра', 'стіни', 'см']","Ліва частина напису знищена обвалом тиньку, проте в цілому збереже- ність напису дуже добра, його складові чітко читаються: --помозм | амнь З розбивкою на слова та відновленням втрачених фрагментів текст виглядає таким чином: [Г(оспод)и] помози ми аминь. Господи, поможи мені, амінь. Розміри літер зменшуються до кінця рядка.","['чверть', 'кінець', 'ст.', 'формою', 'написання', 'переломом', 'перекладиною']",['напис']
4252 ,Х,"['Висота', 'підлоги', 'см', 'відстань', 'ребра', 'стіни', 'см']","Поверхня стіни в місці розташування напису пошкоджена, тому частина його складових не простежується: ст͠нкуламол---- бжѩꙁа------------ остмѧг------------ З розбивкою на слова та відновленням втрачених фрагментів текст виглядає таким чином: С(вѧ)ты(и) Никула моли [за раба] Б(о)жиѩ За[харию и пр]ости мѧ г[рѣшнаго]. Святий Нікола, моли за раба Божого Захарію і прости мене грішного. Розміри літер зменшуються до кінця рядка.","['чверть', 'кінець', 'ст.', 'формою', 'написання', 'видов-', 'спинкою', 'змахи']","['напис', 'ГРАФІТІ', 'МАРМУРОВИХ', 'КОЛОНАХ', 'НАРТЕКСІ', 'СОФІЙСЬКОГО', 'СОБОРУ', 'розділ', 'публікації', ""пам'яток"", 'поверхні', 'колон', 'нартексі', 'Софії', 'стіною', 'входу', 'храму', 'колони', 'тектором', 'М.', 'Щуруповим', 'р', 'розкопки', ""подвір'ї"", 'місцях', 'огорожі', 'низку', 'деталей', 'числі', 'колони41', 'колони', 'при-', 'частину', 'собору42', ""пам'ятки"", 'знахо-', 'частині', 'Корпусу', 'Графіті', 'колоні', 'частині', 'нартексу', 'колона', 'довжиною', 'м', 'частині', 'нартексу']"
4253 ,"ХІІ, 1","['Висота', 'основи', 'см']",На поверхні мармурової колони подвійними замкненими рисками про- креслений малюнок хреста-якоря.,"['чверть', 'початок', 'ст.', 'формою', 'прорізів']","['Хрести', 'монограми', 'теонімограми']"
4254 ,"ХІІ, 2","['Висота', 'основи', 'см']","На поверхні мармурової колони прокреслений чотириконечний хрест, кінці якого мали розширення у вигляді трикутників. Вони помітні у верхній частині щогли та правій частині перекладини.","['чверть', 'початок', 'ст.', 'формою', 'прорізів']","['Хрести', 'монограми', 'теонімограми']"
4255 ,"ХІІ, 3","['Висота', 'основи', 'см']","Більша частина малюнка знищена ерозією поверхні мармуру, за збере- женими фрагментами можемо встановити, що тут потрійними замкненими рисками був виконаний малюнок шестикінечного хреста, що складався зі щогли, перекладини та символічної","['чверть', 'початок', 'ст.', 'формою', 'прорізів']","['Хрести', 'монограми', 'теонімограми']"
4256 ,"ХІІ, 4","['Висота', 'основи', 'см']",На поверхні колони прокреслений простий чотириконечний хрест.,"['чверть', 'початок', 'ст.', 'формою', 'прорізів']","['Хрести', 'монограми', 'теонімограми']"
4257 ,"ХІІІ, 1","['Висота', 'основи', 'см']",На поверхні мармурової колони подвійними замкненими рисками про- креслений чотириконечний хрест.,"['чверть', 'початок', 'ст.', 'формою', 'прорізів']","['Хрести', 'монограми', 'теонімограми']"
4258 ,"ХІІІ, 2","['Висота', 'основи', 'см']",На поверхні мармурової колони подвійними замкненими рисками про- креслений чотириконечний хрест.,"['чверть', 'початок', 'ст.', 'формою', 'прорізів']","['Хрести', 'монограми', 'теонімограми']"
4259 ,"ХІІІ, 3","['Висота', 'основи', 'см']","Поверхня стіни в місці розташування напису сильно затерта, одна зі скла- дових знищена вибоєм. Тим не менше, наявні фрагменти дозволяють реконструювати текст як запис особового та родового імені автора Кл(иментъ) [С]иниски(и) 'Климент Синиський'. Особу автора наразі ідентифікувати не вдалося.","['Кінець', 'ХVІ', 'початок', 'ст.', 'формою', 'прорізів', 'формами', 'написання', 'літер']",['напис']
4260 ,"ХІV, 1","['Висота', 'основи', 'см']",На поверхні мармурової колони прокреслений простий чотириконечний хрест.,"['Кінець', 'ХVІ', 'початок', 'ст.', 'формою', 'прорізів', 'формами', 'написання', 'літер']","['Хрести', 'монограми', 'теонімограми']"
4261 ,"ХІV, 2","['Висота', 'основи', 'см']","На поверхні мармурової колони прокреслені літери ИС, які, вірогідно, слід розглядати як складову теонімограми імені ""Ісус"".","['Кінець', 'ХVІ', 'початок', 'ст.', 'формою', 'прорізів', 'формами', 'написання', 'літер']","['Хрести', 'монограми', 'теонімограми', 'ІІІ.2', 'Графіті', 'колоні', 'частину', 'нартексу', 'колона', 'довжиною', 'м', 'частині', 'нартексу']"
4262 ,"ХІV, 3","['Висота', 'основи', 'см']",На поверхні мармурової колони прокреслений простий чотириконечний хрест.,"['чверть', 'початок', 'ст.', 'формою', 'прорізів']","['Хрести', 'монограми', 'теонімограми']"
4263 ,"ХІV, 4","['Висота', 'основи', 'см']",На поверхні мармурової колони подвійними незамкненими рисками про- креслений чотириконечний хрест.,"['чверть', 'початок', 'ст.', 'формою', 'прорізів']","['Хрести', 'монограми', 'теонімограми']"
4264 ,"ХІV, 5","['Висота', 'основи', 'см']",На поверхні мармурової колони прокреслені літери ЛА.,"['Кінець', 'кінець', 'ст.', 'формою', 'написання', 'спинкою']","['Абетки', 'склади', 'літери']"
4265 ,"ХІV, 6","['Висота', 'основи', 'см']",На поверхні мармурової колони прокреслений простий чотириконечний хрест.,"['чверть', 'початок', 'ст.', 'формою', 'прорізів']","['Хрести', 'монограми', 'теонімограми']"
4266 ,"ХV, 1","['Висота', 'основи', 'см']",На поверхні мармурової колони прокреслений простий чотириконечний хрест.,"['чверть', 'початок', 'ст.', 'формою', 'прорізів']","['Хрести', 'монограми', 'теонімограми']"
4267 ,"ХV, 2","['Висота', 'основи', 'см']",На поверхні мармурової колони прокреслені літери Н.,"['чверть', 'кінець', 'ст.', 'формою', 'написання', 'н', 'перемичкою']","['Абетки', 'склади', 'літери']"
4268 ,"ХV, 3","['Висота', 'основи', 'см']",На поверхні мармурової колони прокреслені літери ЦР.,"['Кінець', 'ХVIІ', 'початок', 'ст.', 'формою', 'написання', 'ц', 'зміще-', 'хвостом', 'формою', 'прорізів']","['Абетки', 'склади', 'літери']"
4269 ,"ХV, 4","['Висота', 'основи', 'см']",На поверхні мармурової колони прокреслена літера Ц.,"['Початок', 'початок', 'ст.', 'формою', 'написання', 'ц', 'змі-', 'хвостом', 'особливостями', 'розташування']","['Абетки', 'склади', 'літери']"
4270 ,"ХV, 5","['Висота', 'основи', 'см']",На поверхні мармурової колони прокреслені літери ПІ.,"['Початок', 'початок', 'ст.', 'особливостями', 'розташування']","['Абетки', 'склади', 'літери', 'Графіті', 'колоні', 'експозиції', 'церкві', 'Фрагмент', 'колони', 'довжиною', 'м', 'церкві', 'заповідника', 'Софія', 'Київська']"
4271,"ХVІ, 2",[],"Ліва частина напису не збереглась, проте складові правої простежуються досить чітко: ------к͠в претⷭавиⷭⷭ раⷠ бж͠іи ома З відновленням пропущених фрагментів текст виглядає таким чином: ... к͠в преставис(ѧ) раб(ъ) Б(о)жіи ома. ... 22-ге приставився раб Божий Фома. На жаль, встановити, ким був згаданий в цьому написі Фома, не виявляється за можливе. Найвірогідніше, він входив до кліру Святої Софії і був похований на мо- настирському цвинтарі. А для надгробку використали мармурову деталь з собору, у якому він служив.","['Початок', 'початок', 'ст.', 'формою', 'написання', 'петель', 'в', 'щоглою', 'ремичкою', 'м', 'петлею', 'р', 'петлею']","['напис', 'ГРАФІТІ', 'ХРЕЩАЛЬНІ', 'СОФІЙСЬКОГО', 'СОБОРУ', 'Хрещальня', 'собору']"
427,Non,"['Висота', 'підлоги', 'см', 'відстань', 'ребра']",На поверхні стіни прокреслений простий чотириконечний хрест.,"['чверть', 'кінець', 'ст.', 'особливостями', 'розташування']","['Хрести', 'монограми', 'теонімограми']"
427,Non,"['Висота', 'підлоги', 'см', 'відстань', 'ребра']","Рахункова частина дворядкового запису обчислення кількості проведених поминальних служб. Точну кількість вертикальних засічок, з яких він складається, встановити не вдається. тенко, Крещальня Софии Киевской: к проблеме функционального назначения и датировки, Архитек- турное наследство 58 (2013) 15–30.","['чверть', 'кінець', 'ст.', 'особливостями', 'розташування']","['Запис', 'лічби']"
427,Non,"['Висота', 'підлоги', 'см', 'відстань', 'ребра']","На поверхні фрескового тиньку прокреслений чотириконечний хрест з розширеними кінцями, між частинами щогли та перекладини якого знаходяться скла- дові теонімограми ІС ХС вгорі та НИ КА внизу.","['чверть', 'кінець', 'ст.', 'особливостями', 'розташування']","['Хрести', 'монограми', 'теонімограми']"
427,Non,"['Висота', 'підлоги', 'см', 'відстань', 'ребра']","Рахункова частина однорядкового запису обчислення кількості проведе- них поминальних служб. Точну кількість вертикальних засічок, з яких він склада- ється, встановити не вдається.","['чверть', 'кінець', 'ст.', 'особливостями', 'розташування']","['Запис', 'лічби']"
427,Non,"['Висота', 'підлоги', 'см', 'відстань', 'ребра']","Рахункова частина однорядкового запису обчислення кількості проведе- них поминальних служб. Точну кількість вертикальних засічок, з яких він склада- ється, встановити не вдається.","['чверть', 'кінець', 'ст.', 'особливостями', 'розташування']","['Запис', 'лічби']"
427,Non,"['Висота', 'підлоги', 'см', 'відстань', 'ребра']","Рахункова частина однорядкового запису обчислення кількості проведе- них поминальних служб. Точну кількість вертикальних засічок, з яких він склада- ється, встановити не вдається. Закінчення рядка дугою вигинається вгору.","['чверть', 'кінець', 'ст.', 'особливостями', 'розташування']","['Запис', 'лічби']"
427,Non,"['Висота', 'підлоги', 'см', 'відстань', 'ребра']","Рахункова частина однорядкового запису обчислення кількості проведе- них поминальних служб. Точну кількість вертикальних засічок, з яких він склада- ється, встановити не вдається. Чотири засічки заходять на сусідню південну сторону виступу.","['чверть', 'кінець', 'ст.', 'особливостями', 'розташування']","['Запис', 'лічби']"
427,"XVIII, 2)","['Висота', 'підлоги', 'см', 'відстань', 'ребра']","Рахункова частина однорядкового запису обчислення кількості проведе- них поминальних служб. Точну кількість вертикальних засічок, з яких він склада- ється, встановити не вдається.","['чверть', 'кінець', 'ст.', 'особливостями', 'розташування']","['Запис', 'лічби', 'Графіті', 'фресці', 'зображенням', 'орнаменту', 'Фреска', 'куті', 'грані', 'лопатки', 'виступу', 'стіни', 'Поверхня', 'фрески', 'вибоями', 'дряпинами', 'ребра', 'вивал', 'тиньку', 'написів', 'ділянці', 'стіни', 'графіті', 'номери', '484-го', '601-го', 'номери', '608а', 'вивчення', 'фрески', 'текстів']"
484 ,"ХІХ, 1","['Висота', 'підлоги', 'см', 'відстань', 'кута']",На фресці прокреслений елемент плетеного орнаменту.,"['чверть', 'кінець', 'ст.', 'формою', 'прорізів']",['Ембеми']
485 ,"ХІХ, 2","['Висота', 'підлоги', 'см', 'відстань', 'кута']","На поверхні фрески простежуються літери САМО, які, можливо, варто роз- глядати як незавершений запис імені Само{уилъ} 'Самуїл'.","['чверть', 'кінець', 'ст.', 'формою', 'прорізів']",['напис']
486 ,"ХІХ, 3","['Висота', 'підлоги', 'см', 'відстань', 'кута']",На фресці прокреслений елемент плетеного орнаменту.,"['чверть', 'кінець', 'ст.', 'формою', 'прорізів']",['Ембеми']
487 ,"ХІХ, 4","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']",На поверхні стіни у стовпчик прокреслені літери NW.,"['Кінець', 'ХVІ', 'кінець', 'ст.', 'формою', 'прорізів', 'фактом', 'вжи-', 'вання', 'латиниці']","['Абетки', 'склади', 'літери']"
488 ,"ХХ, 1","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']","Збереженість напису добра, його складові чітко читаються: гпомаꙁрабоу | своемоупавъ | лоу З розбивкою на слова текст виглядає таким чином: Г(оспод)и помази рабоу своемоу Павлу. Господи, поможи рабу своєму Павлу.","['чверть', 'кінець', 'ст.', 'формою', 'написання', 'видов-', 'спинкою', 'петлею', 'переломом', 'п', 'виступом', 'р', 'голівкою', 'о', 'середина', 'кінець', 'ст.', ""зв'язок"", 'написом', '№']",['напис']
489 ,"ХХ, 2","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']","Ліва сторона напису знищена обвалом тиньку: --пѧ | --анаа | --еееегог Подібні записи вже траплялись серед графіті Софійського собору, текст цього подібний написам, що виявлені мною у приділі архангела Михаїла47.","['чверть', 'кінець', 'ст.', 'формою', 'написання', 'видов-', 'спинкою', 'е']","['Написи', 'змісту']"
490 ,"ХХІ, 1","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']",На поверхні стіни прокреслена літера Σ.,"['чверть', 'кінець', 'ст.', 'формою', 'прорізів']","['Абетки', 'склади', 'літери']"
491 ,"ХХІ, 2","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']",На поверхні стіни прокреслена кисть руки в жесті благословення.,"['чверть', 'кінець', 'ст.', 'формою', 'прорізів']","['Символи', 'частинами', 'тіла']"
492 ,"ХХІ, 3","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']",На поверхні стіни у стовпчик прокреслені літери ВН.,"['чверть', 'кінець', 'ст.', 'формою', 'прорізів']","['Абетки', 'склади', 'літери']"
493 ,"ХХІ, 4","['Висота', 'підлоги', 'см', 'відстань', 'кута']","Напис виконаний поруч із молитвою Павла (№ 488), тому на перший по- гляд може здаватись, ніби він є її продовженням. Насправді вони виконані різними інструментами та з різним натиском на лезо різця. Складові напису пошкоджені, частина їх ледь простежується: ---уко | упр З розбивкою на слова та відновленням втрачених фрагментів текст можна пред- ставити таким чином: [л]уко упир(ь). Слово луко може розглядатись в цьому тексті як особове ім'я ""Лука"" в кличному відмінку, тоді весь текст слід інтерпретувати як звернення до Луки, автор якого нази- ває адресата ""упирем"". В іншому випадку слово можна розглядати як похідне від слова лѫка 'хитрість', а весь запис – як приписку до молитви Павла, автор якого на- зиває останнього ""хитроупирем"". Зважаючи на випадки навмисного паплюження ок- ремих молитовних написів48, тлумачення графіті як вияву негативного ставлення невідомого автора до Павла є найбільш вірогідним.","['Середина', 'кінець', 'ст.', 'формою', 'написання', 'р', 'петлею', 'середина', 'кінець', 'ст.', ""зв'язок"", 'написом', '№']","['слова', 'словосполучення']"
601 ,"ХХІІ, 1","['Висота', 'підлоги', 'см', 'відстань', 'кута']","Збереженість напису добра, всі його складові чітко простежуються: шьльеудока | панкрат- В написі чітко читаються два імені Еудокиа 'Євдокия' та Панкрат[ъ] 'Панкрат'. Перше слово шьль найвірогідніше розглядати як форму дієслова ити 'йти' у минулому часі шьль 'йшов'. Проте, через неузгодження відмінку дієслова з іменами, значення тексту встановити складно, окрім того, що всі три слова виконані одним автором.","['чверть', 'середина', 'ст.', 'формою', 'написання', 'прямо-', 'р', 'петлею', 'ь', 'петлею']",['напис']
602 ,"ХХІІ, 2","['Висота', 'підлоги', 'см', 'відстань', 'кута']","Рахункова частина дворядкового запису обчислення кількості проведених поминальних служб, що містить 24 вертикальні засічки у верхньому рядку та 13 – у нижньому. Можливо, напис пов'язаний з іменами Євдокиї та Панкрата (№ 601), що розташований вище. Однак впевнено про це говорити складно.","['чверть', 'кінець', 'ст.', 'методом']","['Запис', 'лічби']"
603 ,"ХХІІІ, 1","['Висота', 'підлоги', 'см', 'відстань', 'кута']","Ліва частина напису знищена обвалом тиньку, проте наявні складові добре простежуються: --пом--рабоусвоѥмоу | --цегрѣшьнамоу З розбивкою на слова та відновленням втрачених фрагментів текст виглядає таким чином: [Г(оспод)и] пом[оз]и рабоу своѥмоу [Лу]це грѣшьнамоу. Господи, поможи рабу своєму Луці грішному.","['Середина', 'початок', 'ст.', 'формою', 'написання', 'видов-', 'спинкою', 'петлями', 'е', 'р', 'петлею', 'кутом', 'ш', 'платформою', 'низу', 'рядка', 'петлею']",['напис']
604 ,"ХХІІІ, 2","['Висота', 'підлоги', 'см', 'відстань', 'кута']","Ліва частина напису знищена обвалом тиньку, проте наявні складові добре простежуються: помѥнірабаП З розбивкою на слова текст виглядає таким чином: Помѥні раба П. Пом'яни раба П.","['Кінець', 'ХVІ', 'кінець', 'ст.', 'формами', 'написання', 'літер', 'формою', 'прорізів', 'структурою', 'формули']",['напис']
605 ,"ХХІV, 1","['Висота', 'підлоги', 'см', 'відстань', 'кута']","Ліва частина напису знищена обвалом тиньку, проте наявні складові добре простежуються: -помоꙁраба | --оеголазара З розбивкою на слова та відновленням втрачених фрагментів текст виглядає таким чином: [Г](оспод)и помози раба [св]оего Лазара. Господи, поможи раба свого Лазаря. У написі прикметним є неузгодженість відмінків між дієсловом та рештою тек- сту, що видає руку недосвідченого писця.","['Середина', 'ст.', 'формою', 'написання', 'спинкою', 'р', 'петлею', 'кутом', 'е', 'переломом']",['напис']
606 ,"ХХІV, 2","['Висота', 'підлоги', 'см', 'відстань', 'кута']","Збереженість напису дуже добра, всі його складові чітко простежуються: г͠помоꙁрабоусво | мѫо З розбивкою на слова текст виглядає таким чином: Г(оспод)и помози рабоу своимѫо. Господи, поможи рабу своєму.","['чверть', 'середина', 'ст.', 'формою', 'написання', 'спинкою', 'р', 'петлями', 'петлею', 'розвилкою']",['напис']
607 ,"ХХV, 1","['Висота', 'підлоги', 'см', 'відстань', 'кута']","Збереженість напису дуже добра, всі його складові чітко читаються як ім'я Козьма 'Кузьма'.","['Кінець', 'кінець', 'ст.', 'формами', 'написання', 'літер', 'формою', 'прорізів']",['напис']
608 ,"ХХV, 2","['Висота', 'підлоги', 'см', 'відстань', 'кута']","На фресці прокреслений восьмикінечний хрест, що складається зі щогли, перекладини, символічної","['чверть', 'кінець', 'ст.', 'формою', 'прорізів']","['Хрести', 'монограми', 'теонімограми']"
608а ,"ХХV, 3","['Висота', 'підлоги', 'см', 'відстань', 'кута']","Ліва частина напису не збереглась через обвал тиньку, простежуються тільки три літери НЕБ.","['чверть', 'кінець', 'ст.', 'формою', 'написання', 'петлею', 'е', 'н', 'перемичкою']","['Фрагмент', 'напису']"
