Графіті №,табл,Розташування,Опис,Датування,Категорія
475 ,"ХХХVІІ, 5","[('Висота', 'O'), ('від', 'O'), ('сучасної', 'O'), ('підлоги', 'O'), ('51', 'O'), ('см', 'O'), ('відстань', 'O'), ('від', 'O'), ('лівого', 'O'), ('кута', 'O'), ('19', 'O'), ('см', 'O')]","[('На', 'O'), ('фресці', 'O'), ('прокреслений', 'O'), ('шестикінечний', 'O'), ('хрест', 'O'), ('що', 'O'), ('складається', 'O'), ('зі', 'O'), ('щогли', 'O'), ('перекладини', 'O'), ('та', 'O'), ('символічної', 'O')]","[('Друга', 'O'), ('чверть', 'O'), ('ХІ', 'O'), ('–', 'O'), ('кінець', 'O'), ('ХVІ', 'O'), ('ст.', 'O'), (';', 'O'), ('за', 'O'), ('формою', 'O'), ('прорізів', 'O')]","[('Хрести', 'O'), ('монограми', 'O'), ('теонімограми', 'O')]"
476 ,"ХХХVІІІ, 1","[('Висота', 'O'), ('від', 'O'), ('сучасної', 'O'), ('підлоги', 'O'), ('80', 'O'), ('см', 'O'), ('відстань', 'O'), ('від', 'O'), ('лівого', 'O'), ('кута', 'O'), ('42', 'O'), ('см', 'O')]","[('Поверхня', 'O'), ('стіни', 'O'), ('в', 'O'), ('місці', 'O'), ('розташування', 'O'), ('напису', 'O'), ('пошкоджена', 'O'), ('проте', 'O'), ('збере-', 'O'), ('жені', 'O'), ('складові', 'O'), ('дозволяють', 'O'), ('повністю', 'O'), ('відтворити', 'O'), ('текст', 'O'), ('г͠\ue01fпомо', 'O'), ('своеемоу', 'O'), ('\ue01fл\ue01f\ue01fгрешънмꙋ', 'O'), ('ам\ue01fн', 'O'), ('З', 'O'), ('розбивкою', 'O'), ('на', 'O'), ('слова', 'O'), ('текст', 'O'), ('виглядає', 'O'), ('таким', 'O'), ('чином', 'O'), ('Г(оспод)и', 'B'), ('помо(зи', 'O'), ('своеемоу', 'O'), ('Илии', 'O'), ('грешън(о)мꙋ', 'O'), ('амин', 'O'), ('Господи', 'B'), ('поможи', 'O'), ('своєму', 'O'), ('Іллі', 'B'), ('грішному', 'O'), ('амінь', 'O'), ('Впадає', 'O'), ('у', 'O'), ('вічі', 'O'), ('низка', 'O'), ('допущених', 'O'), ('автором', 'O'), ('помилок', 'O'), ('та', 'O'), ('пропущених', 'O'), ('літер', 'O'), ('що', 'O'), ('видає', 'O'), ('руку', 'O'), ('недосвідченого', 'O'), ('писця', 'O')]","[('Друга', 'O'), ('чверть', 'O'), ('ХІ', 'O'), ('–', 'O'), ('друга', 'O'), ('чверть', 'O'), ('ХІІ', 'O'), ('ст.', 'O'), (';', 'O'), ('за', 'O'), ('формою', 'O'), ('написання', 'O'), ('в', 'O'), ('з', 'O'), ('петлею', 'O'), ('кутом', 'O'), ('вперед', 'O'), ('та', 'O'), ('переломом', 'O'), ('з', 'O'), ('петлями', 'O'), ('що', 'O'), ('не', 'O'), ('торкаються', 'O'), ('щогли', 'O'), ('прямоліній-', 'O'), ('ної', 'O'), ('р', 'O'), ('з', 'O'), ('округлою', 'O'), ('петлею', 'O'), ('та', 'O'), ('ш', 'O'), ('з', 'O'), ('платформою', 'O'), ('над', 'O'), ('рядком', 'O')]","[('Молитовний', 'O'), ('напис', 'O')]"
477 ,"ХХХVІІІ, 2","[('Висота', 'O'), ('від', 'O'), ('сучасної', 'O'), ('підлоги', 'O'), ('130', 'O'), ('см', 'O'), ('відстань', 'O'), ('від', 'O'), ('лівого', 'O'), ('кута', 'O'), ('5', 'O'), ('см', 'O')]","[('На', 'O'), ('фресці', 'O'), ('прокреслене', 'O'), ('слово', 'O'), ('-', 'O'), ('звернення', 'O'), ('Господи', 'B'), (""'"", 'I'), ('Господи', 'I'), (""'"", 'O')]","[('Друга', 'O'), ('чверть', 'O'), ('ХІ', 'O'), ('–', 'O'), ('кінець', 'O'), ('ХVІ', 'O'), ('ст.', 'O'), (';', 'O'), ('за', 'O'), ('формою', 'O'), ('прорізів', 'O')]","[('Молитовний', 'O'), ('напис', 'O')]"
478 ,"ХХХІХ, 1","[('Висота', 'O'), ('від', 'O'), ('сучасної', 'O'), ('підлоги', 'O'), ('71', 'O'), ('см', 'O'), ('відстань', 'O'), ('від', 'O'), ('лівого', 'O'), ('кута', 'O'), ('3,5', 'O'), ('см', 'O')]","[('Незважаючи', 'O'), ('на', 'O'), ('пошкодження', 'O'), ('тиньку', 'O'), ('довкола', 'O'), ('напису', 'O'), ('його', 'O'), ('складові', 'O'), ('добре', 'O'), ('простежуються', 'O'), ('г͠\ue01fпомо', 'O'), ('ꙁ\ue01fрабоу', 'O'), ('своемоу', 'O'), ('м\ue01fхалов\ue01f\ue01f', 'B'), ('З', 'O'), ('розбивкою', 'O'), ('на', 'O'), ('слова', 'O'), ('текст', 'O'), ('виглядає', 'O'), ('таким', 'O'), ('чином', 'O'), ('Г(оспод)и', 'B'), ('помози', 'O'), ('рабоу', 'O'), ('своемоу', 'O'), ('Михалови', 'B'), ('и', 'O'), ('...', 'O'), ('Господи', 'B'), ('поможи', 'O'), ('рабу', 'O'), ('своєму', 'O'), ('Михайлові', 'B'), ('та', 'O'), ('...', 'O'), ('Рівна', 'O'), ('поверхня', 'O'), ('тиньку', 'O'), ('за', 'O'), ('останньою', 'O'), ('літерою', 'O'), ('свідчить', 'O'), ('що', 'O'), ('графіті', 'O'), ('залишилось', 'O'), ('незавершеним', 'O')]","[('Середина', 'O'), ('ХІ', 'O'), ('–', 'O'), ('кінець', 'O'), ('ХІІ', 'O'), ('ст.', 'O'), (';', 'O'), ('за', 'O'), ('формою', 'O'), ('написання', 'O'), ('а', 'O'), ('з', 'O'), ('округлою', 'O'), ('чи', 'O'), ('опуклою', 'O'), ('петлею', 'O'), ('в', 'O'), ('з', 'O'), ('округлою', 'O'), ('нижньою', 'O'), ('петлею', 'O'), ('яка', 'O'), ('менша', 'O'), ('за', 'O'), ('верхню', 'O'), ('нахиленої', 'O'), ('праворуч', 'O'), ('з', 'O'), ('із', 'O'), ('переломом', 'O'), ('р', 'O'), ('із', 'O'), ('S', 'O'), ('-', 'O'), ('подібною', 'O'), ('щоглою', 'O')]","[('Молитовний', 'O'), ('напис', 'O')]"
479 ,"ХХХІХ, 2","[('Висота', 'O'), ('від', 'O'), ('сучасної', 'O'), ('підлоги', 'O'), ('107', 'O'), ('см', 'O'), ('відстань', 'O'), ('від', 'O'), ('лівого', 'O'), ('кута', 'O'), ('4', 'O'), ('см', 'O')]","[('Тиньк', 'O'), ('в', 'O'), ('місці', 'O'), ('розташування', 'O'), ('шестирядкового', 'O'), ('напису', 'O'), ('сильно', 'O'), ('пошкодже-', 'O'), ('ний', 'O'), ('права', 'O'), ('його', 'O'), ('частина', 'O'), ('майже', 'O'), ('повністю', 'O'), ('знищена', 'O'), ('г҃п-------', 'O'), ('о--------', 'O'), ('т-------', 'O'), ('л-----------г--', 'O'), ('ла', 'B'), ('---', 'I'), ('н-------', 'I'), ('матаг-------мо--', 'B'), ('Через', 'O'), ('значні', 'O'), ('пошкодження', 'O'), ('реконструювати', 'O'), ('текст', 'O'), ('не', 'O'), ('виявляється', 'O'), ('за', 'O'), ('можливе', 'O'), ('за', 'O'), ('винятком', 'O'), ('перших', 'O'), ('двох', 'O'), ('слів', 'O'), ('Г(осподи', 'O'), ('п[омози', 'O'), (""'"", 'O'), ('Господи', 'B'), ('поможи', 'O'), (""'"", 'O')]","[('Друга', 'O'), ('чверть', 'O'), ('ХІ', 'O'), ('–', 'O'), ('кінець', 'O'), ('ХІІ', 'O'), ('ст.', 'O'), (';', 'O'), ('за', 'O'), ('формою', 'O'), ('написання', 'O'), ('а', 'O'), ('з', 'O'), ('видов-', 'O'), ('женою', 'O'), ('спинкою', 'O')]","[('Молитовний', 'O'), ('напис', 'O')]"
480 ,"ХХХІХ, 3","[('Висота', 'O'), ('від', 'O'), ('сучасної', 'O'), ('підлоги', 'O'), ('71', 'O'), ('см', 'O'), ('відстань', 'O'), ('від', 'O'), ('лівого', 'O'), ('кута', 'O'), ('49', 'O'), ('см', 'O')]","[('Незважаючи', 'O'), ('на', 'O'), ('затертість', 'O'), ('тиньку', 'O'), ('виконані', 'O'), ('голкою', 'O'), ('літери', 'O'), ('читаються', 'O'), ('до-', 'O'), ('волі', 'O'), ('впевнено', 'O'), ('г͠\ue01fпомоꙁ\ue01f', 'O'), ('З', 'O'), ('розбивкою', 'O'), ('на', 'O'), ('слова', 'O'), ('текст', 'O'), ('виглядає', 'O'), ('таким', 'O'), ('чином', 'O'), ('Г(оспод)и', 'B'), ('помози', 'O'), ('Господи', 'B'), ('поможи', 'O')]","[('Друга', 'O'), ('чверть', 'O'), ('ХІ', 'O'), ('–', 'O'), ('кінець', 'O'), ('ХІІІ', 'O'), ('ст.', 'O'), (';', 'O'), ('за', 'O'), ('формою', 'O'), ('написання', 'O'), ('вертикаль-', 'O'), ('ної', 'O'), ('з', 'O'), ('із', 'O'), ('переломом', 'O'), ('та', 'O'), ('п', 'O'), ('з', 'O'), ('виступом', 'O'), ('зверху', 'O')]","[('Молитовний', 'O'), ('напис', 'O')]"
494 ,"ХL, 1","[('Висота', 'O'), ('від', 'O'), ('сучасної', 'O'), ('підлоги', 'O'), ('97', 'O'), ('см', 'O'), ('відстань', 'O'), ('від', 'O'), ('лівого', 'O'), ('кута', 'O'), ('4', 'O'), ('см', 'O')]","[('Складові', 'O'), ('напису', 'O'), ('пошкоджені', 'O'), ('дрібними', 'O'), ('вибоями', 'O'), ('проте', 'O'), ('в', 'O'), ('цілому', 'O'), ('чітко', 'O'), ('чи-', 'O'), ('таються', 'O'), ('г͠\ue01fпоноꙁ\ue01f', 'O'), ('рабоу\ue01f', 'O'), ('свтаѧ-о', 'O'), ('\ue027\ue01fеда-', 'O'), ('спсѥн\ue01fе', 'O'), ('влас\ue01fю', 'O'), ('З', 'O'), ('розбивкою', 'O'), ('на', 'O'), ('слова', 'O'), ('та', 'O'), ('відновленням', 'O'), ('втрачених', 'O'), ('фрагментів', 'O'), ('текст', 'O'), ('виглядає', 'O'), ('таким', 'O'), ('чином', 'O'), ('Г(оспод)и', 'B'), ('понози', 'O'), ('рабоу', 'O'), ('и', 'O'), ('св(ѧ)таѧ', 'O'), ('С]о\ue027ие', 'O'), ('да[и', 'O'), ('сп(а)сѥние', 'O'), ('Власию', 'O'), ('Господи', 'B'), ('поможи', 'O'), ('рабу', 'O'), ('і', 'O'), ('свята', 'O'), ('Софіє', 'B'), ('дай', 'O'), ('спасіння', 'O'), ('Власію', 'B')]","[('Середина', 'O'), ('ХІІ', 'O'), ('–', 'O'), ('початок', 'O'), ('ХІІІ', 'O'), ('ст.', 'O'), (';', 'O'), ('за', 'O'), ('формою', 'O'), ('написання', 'O'), ('б', 'O'), ('з', 'O'), ('округлою', 'O'), ('петлею', 'O'), ('А', 'O'), ('-', 'O'), ('подібної', 'O'), ('д', 'O'), ('вертикальної', 'O'), ('з', 'O'), ('із', 'O'), ('переломом', 'O'), ('хвоста', 'O'), ('та', 'O'), ('прямолінійної', 'O'), ('р', 'O'), ('з', 'O'), ('петлею', 'O'), ('кутом', 'O'), ('догори', 'O')]","[('Молитовний', 'O'), ('напис', 'O')]"
582 ,"ХL, 2","[('Висота', 'O'), ('від', 'O'), ('сучасної', 'O'), ('підлоги', 'O'), ('100', 'O'), ('см', 'O'), ('відстань', 'O'), ('від', 'O'), ('лівого', 'O'), ('кута', 'O'), ('35', 'O'), ('см', 'O')]","[('На', 'O'), ('фресці', 'O'), ('видряпане', 'O'), ('особове', 'O'), ('та', 'O'), ('родове', 'O'), ('імена', 'O'), ('автора', 'O'), ('Andreas', 'B'), ('Sylewycki', 'I'), (""'"", 'O'), ('Андрій', 'B'), ('Силевицький', 'I'), (""'"", 'O'), ('Особу', 'O'), ('автора', 'O'), ('наразі', 'O'), ('не', 'O'), ('ідентифіковано', 'O')]","[('Кінець', 'O'), ('ХVІ', 'O'), ('–', 'O'), ('кінець', 'O'), ('ХVIІ', 'O'), ('ст.', 'O'), (';', 'O'), ('за', 'O'), ('формою', 'O'), ('прорізів', 'O'), ('та', 'O'), ('фактом', 'O'), ('вжи-', 'O'), ('вання', 'O'), ('латиниці', 'O')]","[(""Пам'ятний"", 'O'), ('напис', 'O')]"
583 ,"ХL, 3","[('Висота', 'O'), ('від', 'O'), ('сучасної', 'O'), ('підлоги', 'O'), ('112', 'O'), ('см', 'O'), ('відстань', 'O'), ('від', 'O'), ('лівого', 'O'), ('кута', 'O'), ('27', 'O'), ('см', 'O')]","[('Напис', 'O'), ('сильно', 'O'), ('пошкоджений', 'O'), ('№', 'O'), ('431', 'O'), ('так', 'O'), ('що', 'O'), ('від', 'O'), ('нього', 'O'), ('залишилось', 'O'), ('тільки', 'O'), ('особове', 'O'), (""ім'я"", 'O'), ('Roman', 'B'), (""'"", 'I'), ('Роман', 'I'), (""'"", 'I'), ('та', 'O'), ('невиразні', 'O'), ('фрагменти', 'O'), ('родового', 'O'), ('імені', 'O')]","[('Кінець', 'O'), ('1570-х', 'O'), ('–', 'O'), ('початок', 'O'), ('1580-х', 'O'), ('рр', 'O'), ('до', 'O'), ('1582', 'O'), ('р', 'O'), (';', 'O'), ('за', 'O'), ('особливостями', 'O'), ('розташування', 'O')]","[(""Пам'ятний"", 'O'), ('напис', 'O')]"
584 ,"ХLI, 1","[('Висота', 'O'), ('від', 'O'), ('сучасної', 'O'), ('підлоги', 'O'), ('41', 'O'), ('см', 'O'), ('відстань', 'O'), ('від', 'O'), ('лівого', 'O'), ('кута', 'O'), ('48', 'O'), ('см', 'O')]","[('На', 'O'), ('фресці', 'O'), ('прокреслений', 'O'), ('чотириконечний', 'O'), ('хрест', 'O'), ('основа', 'O'), ('щогли', 'O'), ('якого', 'O'), ('спи-', 'O'), ('рається', 'O'), ('на', 'O'), ('відкриту', 'O'), ('донизу', 'O'), ('одноступінчасту', 'O'), ('Голгофу', 'B'), ('Вершина', 'O'), ('кінці', 'O'), ('перекладини', 'O'), ('та', 'O'), ('середина', 'O'), ('нижньої', 'O'), ('частини', 'O'), ('щогли', 'O'), (""з'єднані"", 'O'), ('скісними', 'O'), ('відрізками', 'O'), ('таким', 'O'), ('чином', 'O'), ('що', 'O'), ('ут-', 'O'), ('ворюють', 'O'), ('ромб', 'O'), ('Схожий', 'O'), ('малюнок', 'O'), ('хреста', 'O'), ('вже', 'O'), ('зустрічався', 'O'), ('серед', 'O'), ('графіті', 'O'), ('Софійського', 'B'), ('собору', 'I'), ('його', 'O'), ('публікував', 'O'), ('С.', 'B'), ('Висоцький78', 'I')]","[('Друга', 'O'), ('чверть', 'O'), ('ХІ', 'O'), ('–', 'O'), ('кінець', 'O'), ('XVI', 'O'), ('ст.', 'O'), (';', 'O'), ('за', 'O'), ('формою', 'O'), ('прорізів', 'O')]","[('Хрести', 'O'), ('монограми', 'O'), ('теонімограми', 'O')]"
585 ,"ХLI, 2","[('Висота', 'O'), ('від', 'O'), ('сучасної', 'O'), ('підлоги', 'O'), ('34', 'O'), ('см', 'O'), ('відстань', 'O'), ('від', 'O'), ('лівого', 'O'), ('кута', 'O'), ('41', 'O'), ('см', 'O')]","[('Дуже', 'O'), ('пошкоджений', 'O'), ('малюнок', 'O'), ('відкритої', 'O'), ('долоні', 'O'), ('руки', 'O')]","[('Друга', 'O'), ('чверть', 'O'), ('ХІ', 'O'), ('–', 'O'), ('кінець', 'O'), ('XVI', 'O'), ('ст.', 'O'), (';', 'O'), ('за', 'O'), ('формою', 'O'), ('прорізів', 'O')]","[('Символи', 'O'), (""пов'язані"", 'O'), ('з', 'O'), ('частинами', 'O'), ('людського', 'O'), ('тіла', 'O')]"
586 ,"ХLI, 3","[('Висота', 'O'), ('від', 'O'), ('сучасної', 'O'), ('підлоги', 'O'), ('34', 'O'), ('см', 'O'), ('відстань', 'O'), ('від', 'O'), ('лівого', 'O'), ('кута', 'O'), ('49', 'O'), ('см', 'O')]","[('На', 'O'), ('фресці', 'O'), ('простежуються', 'O'), ('дуже', 'O'), ('пошкоджені', 'O'), ('літери', 'O'), ('Г\ue002\ue01eПО', 'O'), ('та', 'O'), ('ліва', 'O'), ('щогла', 'O'), ('незавершеної', 'O'), ('або', 'O'), ('пошкодженої', 'O'), ('літери', 'O'), ('М.', 'B'), ('Тобто', 'O'), ('тут', 'O'), ('знаходиться', 'O'), ('незавершена', 'O'), ('тради-', 'O'), ('ційна', 'O'), ('молитовна', 'O'), ('формула', 'O'), ('Г(оспод)и', 'B'), ('по{мози', 'O'), ('}', 'O'), (""'"", 'O'), ('Господи', 'B'), ('поможи', 'O'), (""'"", 'O')]","[('Друга', 'O'), ('чверть', 'O'), ('ХІ', 'O'), ('–', 'O'), ('кінець', 'O'), ('XІІI', 'O'), ('ст.', 'O'), (';', 'O'), ('за', 'O'), ('формою', 'O'), ('написання', 'O'), ('п', 'O'), ('з', 'O'), ('висту-', 'O'), ('пом', 'O'), ('зверху', 'O')]","[('Молитовний', 'O'), ('напис', 'O')]"
587 ,"ХLI, 4","[('Висота', 'O'), ('від', 'O'), ('сучасної', 'O'), ('підлоги', 'O'), ('27', 'O'), ('см', 'O'), ('відстань', 'O'), ('від', 'O'), ('лівого', 'O'), ('кута', 'O'), ('35', 'O'), ('см', 'O')]","[('Напис', 'O'), ('сильно', 'O'), ('пошкоджений', 'O'), ('вибоями', 'O'), ('та', 'O'), ('затертий', 'O'), ('тож', 'O'), ('частина', 'O'), ('його', 'O'), ('скла-', 'O'), ('дових', 'O'), ('не', 'O'), ('простежується', 'O'), ('г͠\ue01f--о', 'O'), ('|ст\ue01fме--', 'O'), ('З', 'O'), ('розбивкою', 'O'), ('на', 'O'), ('слова', 'O'), ('та', 'O'), ('відновленням', 'O'), ('втрачених', 'O'), ('фрагментів', 'O'), ('текст', 'O'), ('виглядає', 'O'), ('таким', 'O'), ('чином', 'O'), ('Г(оспод)и', 'B'), ('пр]ости', 'O'), ('ме[не', 'O'), ('Господи', 'B'), ('прости', 'O'), ('мене', 'O')]","[('Друга', 'O'), ('чверть', 'O'), ('ХІІ', 'O'), ('–', 'O'), ('кінець', 'O'), ('XV', 'O'), ('ст.', 'O'), (';', 'O'), ('за', 'O'), ('формою', 'O'), ('написання', 'O'), ('е', 'O'), ('з', 'O'), ('язичком', 'O'), ('кутом', 'O'), ('донизу', 'O'), ('та', 'O'), ('и', 'O'), ('з', 'O'), ('горизонтальною', 'O'), ('перемичкою', 'O')]","[('Молитовний', 'O'), ('напис', 'O')]"
588 ,"ХLII, 1","[('Висота', 'O'), ('від', 'O'), ('сучасної', 'O'), ('підлоги', 'O'), ('32', 'O'), ('см', 'O'), ('відстань', 'O'), ('від', 'O'), ('лівого', 'O'), ('кута', 'O'), ('23', 'O'), ('см', 'O')]","[('Поверхня', 'O'), ('стіни', 'O'), ('в', 'O'), ('місці', 'O'), ('розташування', 'O'), ('графіті', 'O'), ('сильно', 'O'), ('пошкоджена', 'O'), ('права', 'O'), ('частина', 'O'), ('напису', 'O'), ('втрачена', 'O'), ('нау--------', 'O'), ('аꙁъб', 'O'), ('-', 'O'), ('га', 'O'), ('-', 'O'), ('ы', 'O'), ('\ue01f79стхъмвоі', 'O'), ('мі', 'O'), ('З', 'O'), ('розбивкою', 'O'), ('на', 'O'), ('слова', 'O'), ('та', 'O'), ('відновленням', 'O'), ('втрачених', 'O'), ('фрагментів', 'O'), ('текст', 'O'), ('виглядає', 'O'), ('таким', 'O'), ('чином', 'O'), ('Нау[мъ', 'O'), ('грѣхы', 'O'), ('азъ', 'O'), ('б[о]га[т]ыи', 'O'), ('с(вѧ)т(ы)хъ', 'O'), ('м҃', 'O'), ('воімі', 'O'), ('Наум', 'O'), ('гріхами', 'O'), ('я', 'O'), ('багатий', 'O'), ('святих', 'O'), ('40', 'O'), ('воїнів', 'O'), ('Оскільки', 'O'), ('напис', 'O'), ('не', 'O'), ('мiстить', 'O'), ('дієслова', 'O'), ('-', 'O'), ('прохання', 'O'), ('то', 'O'), ('можна', 'O'), ('зробити', 'O'), ('висновок', 'O'), ('що', 'O'), ('він', 'O'), ('найвірогідніше', 'O'), ('залишився', 'O'), ('незавершеним', 'O')]","[('Кінець', 'O'), ('ХІ', 'O'), ('–', 'O'), ('кінець', 'O'), ('XІІ', 'O'), ('ст.', 'O'), (';', 'O'), ('за', 'O'), ('формою', 'O'), ('написання', 'O'), ('а', 'O'), ('з', 'O'), ('видовженою', 'O'), ('вгору', 'O'), ('спинкою', 'O'), ('вертикальної', 'O'), ('з', 'O'), ('із', 'O'), ('переломом', 'O'), ('та', 'O'), ('V', 'O'), ('-', 'O'), ('подібної', 'O'), ('у', 'O')]","[('Молитовний', 'O'), ('напис', 'O')]"
589 ,"ХLII, 2","[('Висота', 'O'), ('від', 'O'), ('сучасної', 'O'), ('підлоги', 'O'), ('40', 'O'), ('см', 'O'), ('відстань', 'O'), ('від', 'O'), ('лівого', 'O'), ('кута', 'O'), ('48', 'O'), ('см', 'O')]","[('Запис', 'O'), ('обчислення', 'O'), ('кількості', 'O'), ('проведених', 'O'), ('поминальних', 'O'), ('служб', 'O'), ('що', 'O'), ('склада-', 'O'), ('ється', 'O'), ('з', 'O'), ('малюнку', 'O'), ('хреста', 'O'), ('на', 'O'), ('початку', 'O'), ('рядка', 'O'), ('та', 'O'), ('двадцяти', 'O'), ('чотирьох', 'O'), ('видимих', 'O'), ('вертикальних', 'O'), ('засічок', 'O'), ('рахункової', 'O'), ('частини', 'O')]","[('Кінець', 'O'), ('ХІ', 'O'), ('–', 'O'), ('кінець', 'O'), ('XІV', 'O'), ('ст.', 'O'), (';', 'O'), ('за', 'O'), ('типологічним', 'O'), ('методом', 'O')]","[('Запис', 'O'), ('лічби', 'O'), ('""', 'O'), ('крапок', 'O'), ('""', 'O'), ('дозволило', 'O'), ('встановити', 'O'), ('їх', 'O'), ('випадковий', 'O'), ('характер', 'O')]"
590 ,"ХLII, 3","[('Висота', 'O'), ('від', 'O'), ('сучасної', 'O'), ('підлоги', 'O'), ('27', 'O'), ('см', 'O'), ('відстань', 'O'), ('від', 'O'), ('лівого', 'O'), ('кута', 'O'), ('45', 'O'), ('см', 'O')]","[('Складові', 'O'), ('напису', 'O'), ('сильно', 'O'), ('пошкоджені', 'O'), ('подряпинами', 'O'), ('та', 'O'), ('вибоями', 'O'), ('проте', 'O'), ('в', 'O'), ('цілому', 'O'), ('простежуються', 'O'), ('добре', 'O'), ('охъм҃про', 'O'), ('ст\ue01fмѧкъ', 'O'), ('съмоуохъ', 'O'), ('З', 'O'), ('розбивкою', 'O'), ('на', 'O'), ('слова', 'O'), ('текст', 'O'), ('виглядає', 'O'), ('таким', 'O'), ('чином', 'O'), ('Охъ', 'B'), ('м҃', 'O'), ('прости', 'O'), ('мѧ', 'O'), ('Късъмоу', 'O'), ('охъ', 'O'), ('Ох', 'O'), ('сороковиця', 'O'), ('прости', 'O'), ('мене', 'O'), ('Кузьму', 'B'), ('ох', 'O')]","[('Остання', 'O'), ('чверть', 'O'), ('ХІІ', 'O'), ('–', 'O'), ('кінець', 'O'), ('XІІІ', 'O'), ('ст.', 'O'), (';', 'O'), ('за', 'O'), ('формою', 'O'), ('написання', 'O'), ('п', 'O'), ('з', 'O'), ('вис-', 'O'), ('тупом', 'O'), ('та', 'O'), ('прямолінійної', 'O'), ('р', 'O'), ('з', 'O'), ('петлею', 'O'), ('кутом', 'O'), ('донизу', 'O')]","[('Молитовний', 'O'), ('напис', 'O')]"
591 ,"ХLII, 4","[('Висота', 'O'), ('від', 'O'), ('сучасної', 'O'), ('підлоги', 'O'), ('56,5', 'O'), ('см', 'O'), ('відстань', 'O'), ('від', 'O'), ('лівого', 'O'), ('кута', 'O'), ('36', 'O'), ('см', 'O')]","[('Складові', 'O'), ('напису', 'O'), ('сильно', 'O'), ('пошкоджені', 'O'), ('подряпинами', 'O'), ('та', 'O'), ('вибоями', 'O'), ('збереглась', 'O'), ('тільки', 'O'), ('частина', 'O'), ('з', 'O'), ('них', 'O'), ('в', 'O'), ('кінці', 'O'), ('рядка', 'O'), ('що', 'O'), ('може', 'O'), ('бути', 'O'), ('прочитана', 'O'), ('як', 'O'), ('слово', 'O'), ('мещан', 'O'), (""'"", 'O'), ('міщан', 'O'), (""'"", 'O')]","[('Кінець', 'O'), ('XV', 'O'), ('–', 'O'), ('кінець', 'O'), ('XVI', 'O'), ('ст.', 'O'), (';', 'O'), ('за', 'O'), ('скорописними', 'O'), ('формами', 'O'), ('написання', 'O'), ('літер', 'O'), ('та', 'O'), ('формою', 'O'), ('прорізів', 'O')]","[('Фрагмент', 'O'), ('напису', 'O')]"
592 ,"ХLIІI, 1","[('Висота', 'O'), ('від', 'O'), ('сучасної', 'O'), ('підлоги', 'O'), ('59', 'O'), ('см', 'O'), ('відстань', 'O'), ('від', 'O'), ('лівого', 'O'), ('кута', 'O'), ('4', 'O'), ('см', 'O')]","[('Напис', 'O'), ('практично', 'O'), ('повністю', 'O'), ('знищений', 'O'), ('у', 'O'), ('верхньому', 'O'), ('рядку', 'O'), ('помітні', 'O'), ('літери', 'O'), ('ПР', 'O'), ('у', 'O'), ('середньому', 'O'), ('–', 'O'), ('В', 'O'), ('у', 'O'), ('нижньому', 'O'), ('–', 'O'), ('В', 'O'), ('та', 'O'), ('на', 'O'), ('деякій', 'O'), ('відстані', 'O'), ('А.', 'O'), ('Розміри', 'O'), ('літер', 'O'), ('в', 'O'), ('написі', 'O'), ('поступово', 'O'), ('збільшуються', 'O')]","[('Середина', 'O'), ('XІ', 'O'), ('–', 'O'), ('перша', 'O'), ('чверть', 'O'), ('XІV', 'O'), ('ст.', 'O'), (';', 'O'), ('за', 'O'), ('формою', 'O'), ('написання', 'O'), ('а', 'O'), ('з', 'O'), ('ок-', 'O'), ('руглою', 'O'), ('петлею', 'O'), ('та', 'O'), ('прямолінійної', 'O'), ('р', 'O'), ('з', 'O'), ('округлою', 'O'), ('петлею', 'O')]","[('Фрагмент', 'O'), ('напису', 'O')]"
593 ,"ХLIІI, 2","[('Висота', 'O'), ('від', 'O'), ('сучасної', 'O'), ('підлоги', 'O'), ('52', 'O'), ('см', 'O'), ('відстань', 'O'), ('від', 'O'), ('лівого', 'O'), ('кута', 'O'), ('4', 'O'), ('см', 'O')]","[('Збереженість', 'O'), ('напису', 'O'), ('доволі', 'O'), ('добра', 'O'), ('вибоями', 'O'), ('знищені', 'O'), ('тільки', 'O'), ('дві', 'O'), ('літери', 'O'), ('в', 'O'), ('передостанньому', 'O'), ('рядку', 'O'), ('г͠\ue01fпомо', 'O'), ('ꙁ', 'O'), ('\ue01fнетⷭо--', 'O'), ('в\ue01f', 'O'), ('З', 'O'), ('розбивкою', 'O'), ('на', 'O'), ('слова', 'O'), ('та', 'O'), ('відновленням', 'O'), ('втрачених', 'O'), ('фрагментів', 'O'), ('текст', 'O'), ('виглядає', 'O'), ('таким', 'O'), ('чином', 'O'), ('Г(оспод)и', 'B'), ('помози', 'O'), ('Несто[ро]ви', 'B'), ('Господи', 'B'), ('поможи', 'O'), ('Несторові', 'B')]","[('Друга', 'O'), ('чверть', 'O'), ('ХІІ', 'O'), ('–', 'O'), ('кінець', 'O'), ('XІІІ', 'O'), ('ст.', 'O'), (';', 'O'), ('за', 'O'), ('формою', 'O'), ('написання', 'O'), ('в', 'O'), ('з', 'O'), ('висту-', 'O'), ('пом', 'O'), ('зверху', 'O'), ('е', 'O'), ('з', 'O'), ('язичком', 'O'), ('донизу', 'O'), ('Ъ', 'B'), ('-', 'O'), ('подібної', 'O'), ('з', 'O'), ('та', 'O'), ('и', 'O'), ('з', 'O'), ('довгими', 'O'), ('засічками', 'O')]","[('Молитовний', 'O'), ('напис', 'O')]"
