Графіті №,табл,Розташування,Опис,Датування,Категорія
614 ,"VІІ, 1",Знаходиться на фресковому тиньку фасадної стіни північної сходової вежі (,"Верхня частина малюнка знищена внаслідок обвалу тиньку, простежу- ються тільки зображення ступнів людини з позначенням пальців, що зверху прикриті довгим одягом, один кінець якого вільно звисає праворуч. В цілому сюжет цього малюнка дуже нагадує зображення архангела Гавриїла в мозаїчному сюжеті ""Благовіщення"" Софійського собору37. Така подібність дозволяє припустити, що невідомий автор намагався зобразити сюжет, побачений ним у стінах храму під час богослужіння. Наявний фрагмент малюнку виконаний на високому про- фесійному рівні, що вказує на руку досвідченого художника.",Друга чверть ХІ – кінець XVI ст.; за формою прорізів.,Зображення ангелів та святих.
615 ,"VІ, 4",Знаходиться на фресковому тиньку фасадної стіни північної сходової вежі (,"Верхня частина малюнка не збереглась, проте за наявними фрагментами можемо встановити, що тут було зображено коня – добре простежується лінія тулуба та ноги тварини.",Друга чверть ХІ – кінець XVI ст.; за формою прорізів.,Зооморфні зображення.
616 ,"VІІ, 2",Знаходиться на личкувальному розчині фасадної стіни північ- ної сходової вежі (,"На поверхні личкувального розчину подвійною рискою прокреслена овальна фігура, що дещо нагадує підкову.","Друге десятиліття ХІ ст.; за формою прорізів, що виконані по си- рому личкувальному розчину.","Емблеми. ІІ.2. Графіті на західній стороні північної лопатки стіни Фреска на західній стороні північної лопатки стіни наразі повністю закрита кладкою підпірного стовпа під аркбутан, зведеного наприкінці ХІ ст.40 Для дослід- ження доступна тільки невеличка ділянка зондажу, відкритого реставраторами на висоті 172 см (до нижнього краю зондажу) від рівня шиферних плит стародавньої підлоги. Зважаючи на інформацію графіті № 4250, на фресці наймовірніше був зоб- ражений св. Даниїл Стовпник. Загалом у невеликому відкритому зондажем полі дав- ньої фрески збереглось шість давніх графіті, яким надано номери від 4245-го по"
4245 ,"VІІІ, 1","Висота від нижнього краю зондажу 5 см, відстань від лівого краю зондажу 4 см.","На поверхні фрескового тиньку лівим боком до глядача прокреслене схе- матичне зображення воїна, який правою рукою вертикально тримає довгий спис. Ліва частина малюнку знищена обвалом тиньку, проте за збереженими фрагментами мо- жемо встановити, що обличчя воїна було деталізоване – збереглись частина ока та носу, на голові помітне курчаве волосся.",Друга чверть – кінець ХІ ст.; за особливостями розташування.,Антропоморфні зображення.
4246 ,"VІІІ, 2","Висота від нижнього краю зондажу 7 см, відстань від лівого краю зондажу 8,5 см.","Права частина напису закрита кладкою кінця ХІ ст., простежуються тільки п'ять літер початку рядка: мцаіꙁ---- З розбивкою на слова та відновленням закритих фрагментів текст можемо ре- конструювати таким чином: ром цих рядків у 2010 р. Тоді було виявлено давню шиферну підлогу ХІ ст., відкриту ще у 1930-х рр., проте пізніше закриту чавунними плитами на засипці забрудненого піску. Тоді ж, у 2010 р., Р. Гуцуля- ком були проведені аналізи розчинів з цієї частини собору, які й дозволили встановити приблизний вік побудови підпірного стовпа під аркбутан. Дякую Р. Гуцуляку за надану інформацію. М(ѣсѧ)ца із{ока}... Місяця червня... Прикметне, що в написі згадується слов'янська форма назви місяця изокъ, за- мість очікуваного июнь.",Друга чверть – кінець ХІ ст.; за особливостями розташування.,Пам'ятний напис.
4247 ,"VІІІ, 3","Висота від нижнього краю зондажу 9 см, відстань від лівого краю зондажу 8,5 см.","Права частина напису закрита кладкою кінця ХІ ст., простежуються тільки чотири літери початку рядка: ог.",Друга чверть – кінець ХІ ст.; за особливостями розташування.,Фрагмент напису.
4248 ,"VІІІ, 4","Висота від нижнього краю зондажу 5 см, відстань від лівого краю зондажу 10 см.",На поверхні стіни простежується простий чотириконечний хрест.,Друга чверть – кінець ХІ ст.; за особливостями розташування.,"Хрести, монограми, теонімограми."
4249 ,"VІІІ, 5","Висота від нижнього краю зондажу 3 см, відстань від лівого краю зондажу 8 см.","Права частина пошкоджена вибоєм, проте за наявними фрагментами мо- жемо встановити, що тут була прокреслена літера М.",Друга чверть – кінець ХІ ст.; за особливостями розташування.,"Абетки, склади та окремі літери."
4250 ,"ІХ, 1","Висота від нижнього краю зондажу 2 см, відстань від лівого краю зондажу 5 см.","Нижня частина напису закрита кладкою кінця ХІ ст., збереглись тільки чотири знаки виконаного у стовпчик тексту: а⃝ | да | н- З розбивкою на слова та відновленням закритих фрагментів текст можна пред- ставити таким чином: О а(гиосъ) Дан{иилъ}. Святий Даниїл. Зважаючи на інформацію графіті, на фресці найвірогідніше зображений св. Да- ниїл Стовпник, однак через закриття поверхні фрески пізнішою кладкою перевірити іконографічну відповідність зображеному тут святому не виявляється за можливе. Напис частково пошкоджений малюнком воїна (№ 4245).",Друга чверть – кінець ХІ ст.; за особливостями розташування.,"Підпис до фрескового образу. ІІ.3. Графіті на внутрішній стороні аркбутана На внутрішній поверхні аркбутана збереглась невелика ділянка фрескового тиньку з образом святого юного мученика у круглому медальйоні, трохи вище якого помітна нижня частина аналогічного медальйону. На підставі інформації графіті № 4252 образ цього незбереженого святого може бути ідентифікований як св. Ми- колай, мученик Севастійський. На цій ділянці виявлено два графіті, які отримали но- мери 4251 та 4252 ("
4251 ,"ІХ, 2","Висота від сучасної підлоги 282 см, відстань від лівого ребра стіни 43 см.","Ліва частина напису знищена обвалом тиньку, проте в цілому збереже- ність напису дуже добра, його складові чітко читаються: --помозм | амнь З розбивкою на слова та відновленням втрачених фрагментів текст виглядає таким чином: [Г(оспод)и] помози ми аминь. Господи, поможи мені, амінь. Розміри літер зменшуються до кінця рядка.",Друга чверть ХІ – кінець ХІV ст.; за формою написання нахиленої ліворуч з із переломом та и з високою перекладиною.,Молитовний напис.
4252 ,Х,"Висота від сучасної підлоги 266 см, відстань від лівого ребра стіни 24 см.","Поверхня стіни в місці розташування напису пошкоджена, тому частина його складових не простежується: ст͠нкуламол---- бжѩꙁа------------ остмѧг------------ З розбивкою на слова та відновленням втрачених фрагментів текст виглядає таким чином: С(вѧ)ты(и) Никула моли [за раба] Б(о)жиѩ За[харию и пр]ости мѧ г[рѣшнаго]. Святий Нікола, моли за раба Божого Захарію і прости мене грішного. Розміри літер зменшуються до кінця рядка.",Друга чверть ХІ – кінець ХІІ ст.; за формою написання а з видов- женою спинкою та виконаною у три змахи зіркоподібною ж.,"Молитовний напис. ГРАФІТІ НА МАРМУРОВИХ КОЛОНАХ У НАРТЕКСІ СОФІЙСЬКОГО СОБОРУ Цей розділ присвячений публікації епіграфічних пам'яток, що знаходяться на поверхні двох мармурових колон, які нині експонуються у нартексі Софії Київської під східною стіною обабіч входу до храму. Ці мармурові колони були виявлені архі- тектором М. Щуруповим у 1838 р., який провів розкопки на Софійському подвір'ї (""у кількох місцях церковної огорожі"") та виявив низку мармурових архітектурних деталей, в тому числі й дві колони41. Оскільки означені колони, як вважається, при- крашали західну частину Софійського собору42, то епіграфічні пам'ятки, що знахо- дяться на них, публікуються у цій частині ""Корпусу"". ІІІ.1. Графіті на мармуровій колоні у північній частині нартексу Мармурова колона довжиною близько 3,5 м, що нині експонується в північній частині нартексу ("
4253 ,"ХІІ, 1",Висота від основи 110 см.,На поверхні мармурової колони подвійними замкненими рисками про- креслений малюнок хреста-якоря.,Друга чверть ХІ – початок XVII ст.; за формою прорізів.,"Хрести, монограми, теонімограми."
4254 ,"ХІІ, 2",Висота від основи 100 см.,"На поверхні мармурової колони прокреслений чотириконечний хрест, кінці якого мали розширення у вигляді трикутників. Вони помітні у верхній частині щогли та правій частині перекладини.",Друга чверть ХІ – початок XVII ст.; за формою прорізів.,"Хрести, монограми, теонімограми."
4255 ,"ХІІ, 3",Висота від основи 107 см.,"Більша частина малюнка знищена ерозією поверхні мармуру, за збере- женими фрагментами можемо встановити, що тут потрійними замкненими рисками був виконаний малюнок шестикінечного хреста, що складався зі щогли, перекладини та символічної",Друга чверть ХІ – початок XVII ст.; за формою прорізів.,"Хрести, монограми, теонімограми."
4256 ,"ХІІ, 4",Висота від основи 87 см.,На поверхні колони прокреслений простий чотириконечний хрест.,Друга чверть ХІ – початок XVII ст.; за формою прорізів.,"Хрести, монограми, теонімограми."
4257 ,"ХІІІ, 1",Висота від основи 109 см.,На поверхні мармурової колони подвійними замкненими рисками про- креслений чотириконечний хрест.,Друга чверть ХІ – початок XVII ст.; за формою прорізів.,"Хрести, монограми, теонімограми."
4258 ,"ХІІІ, 2",Висота від основи 121 см.,На поверхні мармурової колони подвійними замкненими рисками про- креслений чотириконечний хрест.,Друга чверть ХІ – початок XVII ст.; за формою прорізів.,"Хрести, монограми, теонімограми."
4259 ,"ХІІІ, 3",Висота від основи 203 см.,"Поверхня стіни в місці розташування напису сильно затерта, одна зі скла- дових знищена вибоєм. Тим не менше, наявні фрагменти дозволяють реконструювати текст як запис особового та родового імені автора Кл(иментъ) [С]иниски(и) 'Климент Синиський'. Особу автора наразі ідентифікувати не вдалося.",Кінець ХVІ – початок XVII ст.; за формою прорізів та скоропис- ними формами написання літер.,Пам'ятний напис.
4260 ,"ХІV, 1",Висота від основи 115 см.,На поверхні мармурової колони прокреслений простий чотириконечний хрест.,Кінець ХVІ – початок XVII ст.; за формою прорізів та скоропис- ними формами написання літер.,"Хрести, монограми, теонімограми."
4261 ,"ХІV, 2",Висота від основи 209 см.,"На поверхні мармурової колони прокреслені літери ИС, які, вірогідно, слід розглядати як складову теонімограми імені ""Ісус"".",Кінець ХVІ – початок XVII ст.; за формою прорізів та скоропис- ними формами написання літер.,"Хрести, монограми, теонімограми. ІІІ.2. Графіті на мармуровій колоні у південній частину нартексу Мармурова колона довжиною близько 2,5 м, що нині експонується в північній частині нартексу ("
4262 ,"ХІV, 3",Висота від основи 72 см.,На поверхні мармурової колони прокреслений простий чотириконечний хрест.,Друга чверть ХІ – початок XVII ст.; за формою прорізів.,"Хрести, монограми, теонімограми."
4263 ,"ХІV, 4",Висота від основи 81 см.,На поверхні мармурової колони подвійними незамкненими рисками про- креслений чотириконечний хрест.,Друга чверть ХІ – початок XVII ст.; за формою прорізів.,"Хрести, монограми, теонімограми."
4264 ,"ХІV, 5",Висота від основи 102 см.,На поверхні мармурової колони прокреслені літери ЛА.,Кінець ХІ – кінець XII ст.; за формою написання а з видовженою вгору спинкою.,"Абетки, склади та окремі літери."
4265 ,"ХІV, 6",Висота від основи 101 см.,На поверхні мармурової колони прокреслений простий чотириконечний хрест.,Друга чверть ХІ – початок XVII ст.; за формою прорізів.,"Хрести, монограми, теонімограми."
4266 ,"ХV, 1",Висота від основи 106 см.,На поверхні мармурової колони прокреслений простий чотириконечний хрест.,Друга чверть ХІ – початок XVII ст.; за формою прорізів.,"Хрести, монограми, теонімограми."
4267 ,"ХV, 2",Висота від основи 118 см.,На поверхні мармурової колони прокреслені літери Н.,Друга чверть ХІ – кінець XV ст.; за формою написання н з діаго- нальною перемичкою.,"Абетки, склади та окремі літери."
4268 ,"ХV, 3",Висота від основи 216 см.,На поверхні мармурової колони прокреслені літери ЦР.,Кінець ХVIІ – початок XVІІІ ст.; за формою написання ц зі зміще- ним хвостом та за формою прорізів.,"Абетки, склади та окремі літери."
4269 ,"ХV, 4",Висота від основи 117 см.,На поверхні мармурової колони прокреслена літера Ц.,Початок ХVІІ – початок XVІІІ ст.; за формою написання ц зі змі- щеним хвостом та особливостями розташування.,"Абетки, склади та окремі літери."
4270 ,"ХV, 5",Висота від основи 172 см.,На поверхні мармурової колони прокреслені літери ПІ.,Початок ХVІІ – початок XVІІІ ст.; за особливостями розташування.,"Абетки, склади та окремі літери. ІІІ.3. Графіті на мармуровій колоні з експозиції у Трапезній церкві Фрагмент мармурової колони довжиною близько 1,5 м, що нині експонується у Трапезній церкві Національного заповідника ""Софія Київська"" ("
4271,"ХVІ, 2",,"Ліва частина напису не збереглась, проте складові правої простежуються досить чітко: ------к͠в претⷭавиⷭⷭ раⷠ бж͠іи ома З відновленням пропущених фрагментів текст виглядає таким чином: ... к͠в преставис(ѧ) раб(ъ) Б(о)жіи ома. ... 22-ге приставився раб Божий Фома. На жаль, встановити, ким був згаданий в цьому написі Фома, не виявляється за можливе. Найвірогідніше, він входив до кліру Святої Софії і був похований на мо- настирському цвинтарі. А для надгробку використали мармурову деталь з собору, у якому він служив.","Початок ХV – початок XVI ст.; за формою написання вертикальної а, широко розставлених петель в, ж з високою щоглою та малих скісних, и зі скісною пе- ремичкою, м з низько опущеною петлею, вертикальної р з маленькою округлою петлею.",Пам'ятний напис. ГРАФІТІ У ХРЕЩАЛЬНІ СОФІЙСЬКОГО СОБОРУ Хрещальня Софійського собору (
427,Non,"Висота від сучасної підлоги 108 см, відстань від правого ребра",На поверхні стіни прокреслений простий чотириконечний хрест.,Друга чверть – кінець XI ст.; за особливостями розташування.,"Хрести, монограми, теонімограми."
427,Non,"Висота від сучасної підлоги 85 см, відстань від правого ребра","Рахункова частина дворядкового запису обчислення кількості проведених поминальних служб. Точну кількість вертикальних засічок, з яких він складається, встановити не вдається. тенко, Крещальня Софии Киевской: к проблеме функционального назначения и датировки, Архитек- турное наследство 58 (2013) 15–30.",Друга чверть – кінець XI ст.; за особливостями розташування.,Запис лічби.
427,Non,"Висота від сучасної підлоги 33 см, відстань від правого ребра","На поверхні фрескового тиньку прокреслений чотириконечний хрест з розширеними кінцями, між частинами щогли та перекладини якого знаходяться скла- дові теонімограми ІС ХС вгорі та НИ КА внизу.",Друга чверть – кінець XI ст.; за особливостями розташування.,"Хрести, монограми, теонімограми."
427,Non,"Висота від сучасної підлоги 77 см, відстань від правого ребра","Рахункова частина однорядкового запису обчислення кількості проведе- них поминальних служб. Точну кількість вертикальних засічок, з яких він склада- ється, встановити не вдається.",Друга чверть – кінець XI ст.; за особливостями розташування.,Запис лічби.
427,Non,"Висота від сучасної підлоги 73 см, відстань від правого ребра","Рахункова частина однорядкового запису обчислення кількості проведе- них поминальних служб. Точну кількість вертикальних засічок, з яких він склада- ється, встановити не вдається.",Друга чверть – кінець XI ст.; за особливостями розташування.,Запис лічби.
427,Non,"Висота від сучасної підлоги 84 см, відстань від правого ребра","Рахункова частина однорядкового запису обчислення кількості проведе- них поминальних служб. Точну кількість вертикальних засічок, з яких він склада- ється, встановити не вдається. Закінчення рядка дугою вигинається вгору.",Друга чверть – кінець XI ст.; за особливостями розташування.,Запис лічби.
427,Non,"Висота від сучасної підлоги 99 см, відстань від правого ребра","Рахункова частина однорядкового запису обчислення кількості проведе- них поминальних служб. Точну кількість вертикальних засічок, з яких він склада- ється, встановити не вдається. Чотири засічки заходять на сусідню південну сторону виступу.",Друга чверть – кінець XI ст.; за особливостями розташування.,Запис лічби.
427,"XVIII, 2)","Висота від сучасної підлоги 106 см, відстань від правого ребра","Рахункова частина однорядкового запису обчислення кількості проведе- них поминальних служб. Точну кількість вертикальних засічок, з яких він склада- ється, встановити не вдається.",Друга чверть – кінець XI ст.; за особливостями розташування.,"Запис лічби. ІV.2. Графіті на фресці з зображенням орнаменту  Фреска розташована у північно-східному куті хрещальні, на південній грані за- хідної лопатки виступу стіни. Поверхня фрески вкрита численними вибоями та по- дряпинами, біля ребра наявний вивал давнього тиньку, на ній також наявні кілька сучасних написів. На досліджуваній ділянці стіни виявлено двадцять графіті, які от- римали номери від 484-го по 493-й та від 601-го по 608-й; окрім того, два отримали номери 608а та 608б, оскільки повторне вивчення фрески дозволило встановити, що вони відносяться до інших текстів ("
484 ,"ХІХ, 1","Висота від сучасної підлоги 88 см, відстань від правого кута",На фресці прокреслений елемент плетеного орнаменту.,Друга чверть ХІ – кінець XVI ст.; за формою прорізів.,Ембеми.
485 ,"ХІХ, 2","Висота від сучасної підлоги 91,5 см, відстань від правого кута","На поверхні фрески простежуються літери САМО, які, можливо, варто роз- глядати як незавершений запис імені Само{уилъ} 'Самуїл'.",Друга чверть ХІ – кінець XVI ст.; за формою прорізів.,Пам'ятний напис.
486 ,"ХІХ, 3","Висота від сучасної підлоги 83,5 см, відстань від правого кута",На фресці прокреслений елемент плетеного орнаменту.,Друга чверть ХІ – кінець XVI ст.; за формою прорізів.,Ембеми.
487 ,"ХІХ, 4","Висота від сучасної підлоги 98 см, відстань від правого кута 5,5 см.",На поверхні стіни у стовпчик прокреслені літери NW.,Кінець ХVІ – кінець XVII ст.; за формою прорізів та фактом вжи- вання латиниці.,"Абетки, склади та окремі літери."
488 ,"ХХ, 1","Висота від сучасної підлоги 80 см, відстань від правого кута 26 см.","Збереженість напису добра, його складові чітко читаються: гпомаꙁрабоу | своемоупавъ | лоу З розбивкою на слова текст виглядає таким чином: Г(оспод)и помази рабоу своемоу Павлу. Господи, поможи рабу своєму Павлу.","Друга чверть ХІ – кінець XІI ст.; за формою написання а з видов- женою спинкою, в з округлою нижньою петлею або широкою верхньою, нахиленої ліворуч з із переломом, п з виступом зверху, р з маленькою голівкою, оу зі зменшеним о; найімовірніше, середина – кінець ХІІ ст., зважаючи на можливий смисловий зв'язок з написом № 493.",Молитовний напис.
489 ,"ХХ, 2","Висота від сучасної підлоги 64 см, відстань від правого кута 25,5 см.","Ліва сторона напису знищена обвалом тиньку: --пѧ | --анаа | --еееегог Подібні записи вже траплялись серед графіті Софійського собору, текст цього подібний написам, що виявлені мною у приділі архангела Михаїла47.",Друга чверть ХІ – кінець XІI ст.; за формою написання а з видов- женою спинкою та нахиленої праворуч е.,Написи музичного змісту.
490 ,"ХХІ, 1","Висота від сучасної підлоги 83,5 см, відстань від правого кута 18 см.",На поверхні стіни прокреслена літера Σ.,Друга чверть ХІ – кінець XVI ст.; за формою прорізів.,"Абетки, склади та окремі літери."
491 ,"ХХІ, 2","Висота від сучасної підлоги 36 см, відстань від правого кута 12 см.",На поверхні стіни прокреслена кисть руки в жесті благословення.,Друга чверть ХІ – кінець XVI ст.; за формою прорізів.,"Символи, пов'язані з частинами людського тіла."
492 ,"ХХІ, 3","Висота від сучасної підлоги 46 см, відстань від правого кута 19 см.",На поверхні стіни у стовпчик прокреслені літери ВН.,Друга чверть ХІ – кінець XVI ст.; за формою прорізів.,"Абетки, склади та окремі літери."
493 ,"ХХІ, 4","Висота від сучасної підлоги 78 см, відстань від правого кута","Напис виконаний поруч із молитвою Павла (№ 488), тому на перший по- гляд може здаватись, ніби він є її продовженням. Насправді вони виконані різними інструментами та з різним натиском на лезо різця. Складові напису пошкоджені, частина їх ледь простежується: ---уко | упр З розбивкою на слова та відновленням втрачених фрагментів текст можна пред- ставити таким чином: [л]уко упир(ь). Слово луко може розглядатись в цьому тексті як особове ім'я ""Лука"" в кличному відмінку, тоді весь текст слід інтерпретувати як звернення до Луки, автор якого нази- ває адресата ""упирем"". В іншому випадку слово можна розглядати як похідне від слова лѫка 'хитрість', а весь запис – як приписку до молитви Павла, автор якого на- зиває останнього ""хитроупирем"". Зважаючи на випадки навмисного паплюження ок- ремих молитовних написів48, тлумачення графіті як вияву негативного ставлення невідомого автора до Павла є найбільш вірогідним.","Середина ХІІ – кінець XІІI ст.; за формою написання широкої р з відкритою округлою петлею; найімовірніше, середина – кінець ХІІ ст., зважаючи на можливий смисловий зв'язок з написом № 488.",Окремі слова та словосполучення.
