,Датування,B-dating_criteria
200,пошкоджена,O
201,вибоями,O
202,тож,O
203,іконографічну,O
204,відповідність,O
205,зображеному,O
206,тут,O
207,святому,O
208,не,O
209,виявляється,O
210,за,O
211,можливе,O
212,Розташування,B-other
213,Висота,O
214,від,O
215,сучасної,O
216,підлоги,O
217,266,O
218,см,O
219,відстань,O
220,від,O
221,лівого,O
222,ребра,O
223,Категорія,O
224,Антропоморфні,O
225,зображення,I-decoration
226,пласкої,O
227,чаші,O
228,ъ,O
229,з,I-object_type
230,петлею,O
231,кутом,O
232,вперед,O
233,найвірогідніше,O
234,друга,O
235,третина,O
236,ХІІ,O
237,ст.,O
238,за,O
239,ти-,O
240,Публікації,O
241,В.,O
242,Корнієнко176,O
243,формами,O
244,написання,O
245,літер,O
246,Категорія,O
247,Молитовний,O
248,напис,I-inscription_type
249,Опис,B-inscription
250,Більша,O
251,частина,I-other
252,малюнка,O
253,знищена,O
254,ерозією,O
255,поверхні,O
256,мармуру,O
257,за,O
258,збере-,O
259,Категорія,O
260,Фрагмент,O
261,напису,I-preservation_state
262,пом[ѧни,O
263,пом'яни,O
264,Опис,B-inscription
265,Нижні,O
266,рядки,O
267,напису,I-preservation_state
268,практично,O
269,повністю,O
270,знищені,O
271,вибоями,O
272,залишився,O
273,ються,O
274,тільки,O
275,невелика,O
276,частина,I-other
277,його,O
278,складових,O
279,Опис,B-inscription
280,Поверхня,O
281,стіни,I-object_type
282,в,O
283,місці,O
284,розташування,O
285,напису,I-preservation_state
286,пошкоджена,O
287,вибоями,O
288,які,O
289,Категорія,O
290,Пам'ятний,O
291,напис,I-inscription_type
292,Писал,O
293,я,O
294,Категорія,O
295,Молитовний,O
296,напис,I-inscription_type
297,Розташування,B-other
298,Висота,O
299,від,O
300,сучасної,O
301,підлоги,O
302,153,O
303,см,O
304,відстань,O
305,від,O
306,лівого,O
307,кута,O
308,Категорія,O
309,Фрагмент,O
310,напису,I-preservation_state
311,заважав,O
312,продовжувати,O
313,текст,O
314,запис,B-inscripiton_type
315,Григорія,O
316,№,O
317,4334,O
318,Категорія,O
319,Фрагмент,O
320,напису,I-preservation_state
321,Розташування,B-other
322,Висота,O
323,від,O
324,сучасної,O
325,підлоги,O
326,89,O
327,см,O
328,відстань,O
329,від,O
330,лівого,O
331,кута,O
332,31	5,O
333,см,O
334,Опис,B-inscription
335,Збереженість,O
336,напису,I-preservation_state
337,добра,I-inscription_type
338,всі,O
339,його,O
340,складові,O
341,чітко,O
342,простежуються,O
343,Розташування,B-other
344,Висота,O
345,від,O
346,сучасної,O
347,підлоги,O
348,61,O
349,см,O
350,відстань,O
351,від,O
352,правого,O
353,кута,O
354,Ладога,O
355,и,O
356,эпоха,O
357,викингов,O
358,Четвертые,O
359,чтения,O
360,памяти,O
361,Анны,O
362,Мачинской,O
363,Старая,O
364,Ладога,O
365,21–23,O
366,декабря,O
367,Датування,B-dating_criteria
368,Друга,O
369,чверть,O
370,XІ,O
371,кінець,O
372,XV,O
373,ст.,O
374,за,O
375,формою,O
376,написання,O
377,нахиленої,O
378,заглиблених,O
379,крапок,O
380,кінцями,O
381,Розташування,B-other
382,Висота,O
383,від,O
384,сучасної,O
385,підлоги,O
386,117	5,O
387,см,O
388,відстань,O
389,від,O
390,лівого,O
391,кута,O
392,Опис,B-inscription
393,На,O
394,фресці,I-inscription_type
395,прокреслене,O
396,дієслово,O
397,быⷧ,O
398,був,O
399,Вочевидь,O
400,напис,I-inscription_type
401,лишився,O
402,не-,O
403,Опис,B-inscription
404,На,O
405,фресці,I-inscription_type
406,прокреслена,O
407,літера,O
408,П.,O
409,Опис,B-inscription
410,На,O
411,фресці,I-inscription_type
412,прокреслені,O
413,літери,O
414,ЅХЕ,O
415,що,O
416,є,O
417,записом,O
418,6605,O
419,1097,O
420,р,O
421,Датування,B-dating_criteria
422,Кінець,O
423,XVI,O
424,кінець,O
425,XVII,O
426,ст.,O
427,за,O
428,формою,O
429,прорізів,O
430,та,O
431,скорописними,O
432,Публікації,O
433,В.,O
434,Корнієнко177,O
435,Датування,B-dating_criteria
436,Друга,O
437,чверть,O
438,ХІ,O
439,середина,O
440,XІІI,O
441,ст.,O
442,за,O
443,формою,O
444,написання,O
445,прямо-,O
446,ѧ,O
447,з,I-object_type
448,покриттям,O
449,та,O
450,нахиленої,O
451,праворуч,O
452,Ъ,O
453,подібної,O
454,з,I-object_type
455,найвірогідніше,O
456,друга,O
457,третина,O
458,ХІІ,O
459,ст.,O
460,Помѧ]ни,O
461,Г(оспод)[и,O
462,р[аба,O
463,устроеніе,O
464,и,O
465,вещи,O
466,драгиа,O
467,и,O
468,всю,O
469,честь,O
470,великіа,O
471,Кіевскіа,O
472,церкви,O
473,на,I-inscription_type
474,ино,O
475,мѣсто,O
476,преноситъ,O
477,идѣже,O
478,живетъ,O
479,Звертає,O
480,на,I-inscription_type
481,себе,O
482,увагу,O
483,помилкове,O
484,подвійне,O
485,написання,O
486,р,O
487,у,I-object_type
488,передостанньому,O
489,рядку,O
490,Розташування,B-other
491,Висота,O
492,від,O
493,сучасної,O
494,підлоги,O
495,33,O
496,см,O
497,відстань,O
498,від,O
499,лівого,O
500,кута,O
501,62,O
502,см,O
503,Розташування,B-other
504,Висота,O
505,від,O
506,нижнього,O
507,краю,O
508,зондажу,I-other
509,9,O
510,см,O
511,відстань,O
512,від,O
513,лівого,O
514,s{tolnik,O
515,стольник,O
516,Графіті,B-inscription
517,№,O
518,571,O
519,табл,O
520,LІV,O
521,4,O
522,Опис,B-inscription
523,На,O
524,фресці,I-inscription_type
525,знаходиться,O
526,малюнок,B-decoration
527,простого,O
528,чотириконечного,O
529,хреста,O
530,над,O
531,чаші,O
532,Графіті,B-inscription
533,№,O
534,544,O
535,табл,O
536,ХLVІIІ,O
537,1,O
538,лівкою,O
539,ѣ,O
540,з,I-object_type
541,бічними,O
542,засічками130,O
543,Датування,B-dating_criteria
544,Кінець,O
545,XVІ,O
546,кінець,O
547,XVІI,O
548,ст.,O
549,за,O
550,скорописними,O
551,формами,O
552,написання,O
553,Помени,O
554,Марка,O
555,Датування,B-dating_criteria
556,Кінець,O
557,XVI,O
558,кінець,O
559,XVII,O
560,ст.,O
561,за,O
562,формою,O
563,прорізів,O
564,хрест,I-decoration
565,краю,O
566,зондажу,I-other
567,10,O
568,см,O
569,Опис,B-inscription
570,На,O
571,фресці,I-inscription_type
572,прокреслені,O
573,літери,O
574,ЛВ.,O
575,Опис,B-inscription
576,На,O
577,поверхні,O
578,торця,O
579,плінфи,I-object_type
580,простежуються,O
581,три,O
582,літери,O
583,КОН,O
584,Далі,O
585,поверхня,O
586,менти,O
587,літер,O
588,Розташування,B-other
589,Висота,O
590,від,O
591,сучасної,O
592,підлоги,O
593,56,O
594,см,O
595,відстань,O
596,від,O
597,правого,O
598,кута,O
599,Розташування,B-other
600,Висота,O
601,від,O
602,сучасної,O
603,підлоги,O
604,111,O
605,см,O
606,відстань,O
607,від,O
608,лівого,O
609,кута,O
610,Опис,B-inscription
611,У,O
612,середній,O
613,частині,O
614,напис,I-inscription_type
615,пошкоджений,O
616,вибоєм,O
617,який,O
618,знищив,O
619,декілька,O
620,Категорія,O
621,Хрести,O
622,монограми,O
623,теонімограми,O
624,креслений,O
625,чотириконечний,I-decoration
626,хрест,I-decoration
627,Категорія,O
628,Пам'ятний,O
629,напис,I-inscription_type
630,Датування,B-dating_criteria
631,Друга,O
632,чверть,O
633,ХІІ,O
634,кінець,O
635,XV,O
636,ст.,O
637,за,O
638,формою,O
639,написання,O
640,и,O
641,з,I-object_type
642,гори-,O
643,Категорія,O
644,Підпис,O
645,до,O
646,фрескового,O
647,образу,O
648,знаходяться,O
649,тут,O
650,ані,O
651,зняти,O
652,якісні,O
653,кальки,O
654,з,I-object_type
655,поверхні,O
656,фрески,I-object_type
657,Тому,O
658,в,O
659,цьому,O
660,підрозділі,O
661,Датування,B-dating_criteria
662,Друга,O
663,чверть,O
664,XІ,O
665,перша,O
666,третина,O
667,ХІІІ,O
668,ст.,O
669,за,O
670,формою,O
671,написання,O
672,Опис,B-inscription
673,Поверхня,O
674,стіни,I-object_type
675,в,O
676,місці,O
677,розташування,O
678,напису,I-preservation_state
679,пошкоджена,O
680,вибоями,O
681,У,O
682,плексу,O
683,написів,O
684,в,O
685,головному,O
686,вівтарі,O
687,Софійського,O
688,собору,O
689,та,O
690,скорописними,O
691,формами,O
692,Опис,B-inscription
693,На,O
694,фресці,I-inscription_type
695,прокреслене,O
696,дієслово,O
697,прохання,O
698,помꙗни,O
699,помяни,O
700,личкувальних,O
701,розчином,O
702,вкритим,O
703,побілкою,O
704,тож,O
705,для,O
706,вивчення,O
707,наразі,O
708,доступна,O
709,тільки,O
710,Публікації,O
711,С.,O
712,Висоцький62,O
713,Розташування,B-other
714,Висота,O
715,від,O
716,сучасної,O
717,підлоги,O
718,36,O
719,см,O
720,відстань,O
721,від,O
722,правого,O
723,кута,O
724,12,O
725,см,O
726,формами,O
727,написання,O
728,літер,O
729,виявлено,O
730,одне,O
731,графіті,B-inscription_type
732,яке,O
733,отримало,O
734,порядковий,O
735,номер,O
736,4360,O
737,табл,O
738,XVIII,O
739,8),O
740,фіті,O
741,тут,O
742,мало,O
743,бути,O
744,видряпане,O
745,родове,O
746,ім'я,O
747,автора,O
748,Розташування,B-other
749,Висота,O
750,від,O
751,сучасної,O
752,підлоги,O
753,114	5,O
754,см,O
755,відстань,O
756,від,O
757,лівого,O
758,ребра,O
759,С(вѧ)ти,O
760,моученищи,O
761,молите,O
762,за,O
763,раба,O
764,своего,O
765,Ивана,O
766,Публікації,O
767,В.,O
768,Корнієнко160,O
769,Іоан(ъ,O
770,Иларион(о)ви[ч](ь,O
771,30,O
772,и]ю[нѧ,O
773,реконструювати,O
774,як,O
775,молитовне,I-inscription_type
776,звернення,I-inscription_type
777,помѧ]ни,O
778,Г(оспод)и,O
779,пом'яни,O
780,Господи,O
781,Опис,B-inscription
782,Збереженість,O
783,напису,I-preservation_state
784,добра,I-inscription_type
785,його,O
786,складові,O
787,незважаючи,O
788,на,I-inscription_type
789,дрібні,O
790,пошкод-,O
791,Розташування,B-other
792,Висота,O
793,від,O
794,сучасної,O
795,підлоги,O
796,53,O
797,см,O
798,відстань,O
799,від,O
800,лівого,O
801,кута,O
802,30,O
803,см,O
804,вони,O
805,відносяться,O
806,до,O
807,інших,O
808,текстів,O
809,табл,O
810,XVIII,O
811,2,O
812,на,I-inscription_type
813,західній,O
814,стіні,I-object_type
815,Софійського,O
816,собору,O
817,У,O
818,присвяченій,O
819,публікації,O
820,графіті,B-inscription_type
821,західних,O
822,га-,O
823,глядає,O
824,таким,O
825,чином,O
826,ної,O
827,д,O
828,Датування,B-dating_criteria
829,Середина,O
830,ХІ,O
831,кінець,O
832,XІІ,O
833,ст.,O
834,за,O
835,формою,O
836,написання,O
837,а,O
838,з,I-object_type
839,опуклою,O
840,формулою,O
841,найвірогідніше,O
842,з,I-object_type
843,проханням,O
844,до,O
845,Господа,O
846,пом'янути,O
847,її,O
848,автора,O
849,Опис,B-inscription
850,Напис,O
851,повністю,O
852,знищений,O
853,вибоями,O
854,на,I-inscription_type
855,поверхні,O
856,тиньку,O
857,помітна,O
858,тільки,O
859,Датування,B-dating_criteria
860,Кінець,O
861,XVІ,O
862,кінець,O
863,XVІI,O
864,ст.,O
865,за,O
866,скорописними,O
867,формами,O
868,написання,O
869,Датування,B-dating_criteria
870,Кінець,O
871,ХVI,O
872,кінець,O
873,XVII,O
874,ст.,O
875,за,O
876,формою,O
877,прорізів,O
878,Розташування,B-other
879,Висота,O
880,від,O
881,сучасної,O
882,підлоги,O
883,126,O
884,см,O
885,відстань,O
886,від,O
887,лівого,O
888,кута,O
889,65,O
890,см,O
891,Опис,B-inscription
892,Права,O
893,частина,I-other
894,напису,I-preservation_state
895,знищена,O
896,обвалом,O
897,тиньку,O
898,простежуються,O
899,літери,O
900,Датування,B-dating_criteria
901,Кінець,O
902,ХVI,O
903,кінець,O
904,XVII,O
905,ст.,O
906,за,O
907,формою,O
908,прорізів,O
909,Датування,B-dating_criteria
910,Друга,O
911,чверть,O
912,XІІ,O
913,кінець,O
914,XVІ,O
915,ст.,O
916,за,O
917,формою,O
918,прорізів,O
919,петлею,O
920,вертикальної,O
921,з,I-object_type
922,із,O
923,переломом,O
924,та,O
925,округлої,O
926,ꙍ,O
927,з,I-object_type
928,верхніми,O
929,засічками180,O
930,З,O
931,відновленням,O
932,втрачених,O
933,фрагментів,O
934,верхній,O
935,рядок,O
936,напису,I-preservation_state
937,можна,O
938,реконструю-,O
939,відкритою,O
940,округлою,O
941,петлею,O
942,найімовірніше,O
943,середина,O
944,кінець,O
945,ХІІ,O
946,ст.,O
947,зважаючи,O
948,на,I-inscription_type
949,Опис,B-inscription
950,Рахункова,O
951,частина,I-other
952,однорядкового,O
953,запису,O
954,обчислення,I-inscription_type
955,кількості,I-inscription_type
956,проведе-,O
957,Святі,O
958,40,O
959,за,O
960,мене,O
961,Розташування,B-other
962,Висота,O
963,від,O
964,сучасної,O
965,підлоги,O
966,54,O
967,см,O
968,відстань,O
969,від,O
970,лівого,O
971,кута,O
972,51,O
973,см,O
974,значок,O
975,наразі,O
976,встановити,O
977,складно,O
978,Обабіч,O
979,престолу,O
980,виконані,O
981,літери,O
982,А,O
983,та,O
984,Ꙍ,O
985,що,O
986,від-,O
987,собору,O
988,у,I-object_type
989,1838,O
990,р.45,O
991,Ця,O
992,колона,I-object_type
993,вочевидь,O
994,вже,O
995,в,O
996,давнину,O
997,була,O
998,зруйнована,O
999,і,O
1000,її,O
1001,використали,O
1002,Оскільки,O
1003,напис,I-inscription_type
1004,не,O
1005,мiстить,O
1006,дієслова,O
1007,прохання,O
1008,то,O
1009,можна,O
1010,зробити,O
1011,висновок,O
1012,що,O
1013,поменим-,O
1014,Категорія,O
1015,Фрагмент,O
1016,напису,I-preservation_state
1017,Фреска,B-object_type
1018,розташована,O
1019,на,I-inscription_type
1020,південній,O
1021,стороні,O
1022,південного,O
1023,виступу,I-object_type
1024,апсиди,I-object_type
1025,хре-,O
1026,Розташування,B-other
1027,Висота,O
1028,від,O
1029,сучасної,O
1030,підлоги,O
1031,60,O
1032,см,O
1033,відстань,O
1034,від,O
1035,правого,O
1036,ребра,O
1037,швів,O
1038,денної,O
1039,роботи,O
1040,показує,O
1041,що,O
1042,настил,O
1043,риштування,O
1044,проходив,O
1045,на,I-inscription_type
1046,висоті,O
1047,трохи,O
1048,передостанньому,O
1049,рядку,O
1050,мінностями,O
1051,у,I-object_type
1052,пропорціях,O
1053,колон,O
1054,говорити,O
1055,про,O
1056,їх,O
1057,приналежність,O
1058,різним,O
1059,церквам,O
1060,се-,O
1061,Графіті,B-inscription
1062,№,O
1063,706,O
1064,табл,O
1065,LХХХVIІ,O
1066,2,O
1067,лено,O
1068,горизонтальними,O
1069,рисками,O
1070,зверху,O
1071,та,O
1072,знизу,O
1073,Категорія,O
1074,Хрести,O
1075,монограми,O
1076,теонімограми,O
1077,вання,O
1078,латиниці,O
1079,Датування,B-dating_criteria
1080,Друга,O
1081,чверть,O
1082,XІІ,O
1083,кінець,O
1084,XVІ,O
1085,ст.,O
1086,за,O
1087,формою,O
1088,прорізів,O
1089,Цей,O
1090,розділ,O
1091,присвячений,O
1092,публікації,O
1093,епіграфічних,O
1094,пам'яток,O
1095,що,O
1096,знаходяться,O
1097,на,I-inscription_type
1098,Категорія,O
1099,Пам'ятний,O
1100,напис,I-inscription_type
1101,тенко,O
1102,Крещальня,O
1103,Софии,O
1104,Киевской,O
1105,к,O
1106,проблеме,O
1107,функционального,O
1108,назначения,O
1109,и,O
1110,датировки,O
1111,Архитек-,O
1112,Господи,O
1113,поможи,O
1114,рабу,O
1115,своєму,O
1116,Михайлові,O
1117,та,O
1118,вгору,O
1119,спинкою,O
1120,вертикальної,O
1121,з,I-object_type
1122,із,O
1123,переломом,O
1124,та,O
1125,V,O
1126,подібної,O
1127,у,I-object_type
1128,Опис,B-inscription
1129,Права,O
1130,частина,I-other
1131,напису,I-preservation_state
1132,знищена,O
1133,вибоями,O
1134,за,O
1135,наявними,O
1136,фрагментами,O
1137,мо-,O
1138,Опис,B-inscription
1139,На,O
1140,фресці,I-inscription_type
1141,прокреслені,O
1142,літери,O
1143,NW,O
1144,при,O
1145,щоглі,O
1146,вертикальної,O
1147,з,I-object_type
1148,із,O
1149,розвилкою,O
1150,прямолінійної,O
1151,р,O
1152,з,I-object_type
1153,округлою,O
1154,петлею,O
1155,та,O
1156,простої,O
1157,С(вѧ)ти,O
1158,м҃,O
1159,м(оу)ч(е)н(и)ци,O
1160,бъдите,O
1161,мо[л]ить,O
1162,Б(ог)[а,O
1163,за,O
1164,м[ѧ,O
1165,Опис,B-inscription
1166,Тиньк,B-material
1167,в,O
1168,місці,O
1169,розташування,O
1170,шестирядкового,O
1171,напису,I-preservation_state
1172,сильно,O
1173,пошкодже-,O
1174,Категорія,O
1175,Хрести,O
1176,монограми,O
1177,теонімограми,O
1178,фіті,O
1179,вважаю,O
1180,за,O
1181,логічне,O
1182,помістити,O
1183,їх,O
1184,в,O
1185,один,O
1186,розділ,O
1187,з,I-object_type
1188,епіграфічними,O
1189,пам'ятками,O
1190,за-,O
1191,Датування,B-dating_criteria
1192,Друга,O
1193,чверть,O
1194,ХІІ,O
1195,кінець,O
1196,XVІ,O
1197,ст.,O
1198,за,O
1199,формою,O
1200,прорізів,O
1201,помен------------о,O
1202,оманаг͠ди,O
1203,ребра,O
1204,45,O
1205,см,O
1206,Категорія,O
1207,Орнітоморфні,O
1208,зображення,I-decoration
1209,Датування,B-dating_criteria
1210,Друга,O
1211,чверть,O
1212,ХІ,O
1213,початок,O
1214,XVII,O
1215,ст.,O
1216,за,O
1217,формою,O
1218,прорізів,O
1219,пошкоджена,O
1220,та,O
1221,затерта,O
1222,внаслідок,O
1223,чого,O
1224,частина,I-other
1225,його,O
1226,складових,O
1227,не,O
1228,простежується,O
1229,або,O
1230,Категорія,O
1231,Зооморфні,O
1232,зображення,I-decoration
1233,зверху,O
1234,вертикальної,O
1235,з,I-object_type
1236,із,O
1237,переломом,O
1238,и,O
1239,та,O
1240,н,O
1241,з,I-object_type
1242,довгими,O
1243,засічками,O
1244,прямолінійної,O
1245,р,O
1246,з,I-object_type
1247,ок-,O
1248,жені,O
1249,складові,O
1250,дозволяють,O
1251,повністю,O
1252,відтворити,O
1253,текст,O
1254,Датування,B-dating_criteria
1255,Середина,O
1256,ХІІ,O
1257,ст.,O
1258,за,O
1259,формою,O
1260,написання,O
1261,а,O
1262,з,I-object_type
1263,верхньою,O
1264,засічкою,O
1265,б,O
1266,з,I-object_type
1267,вого,O
1268,кута,O
1269,стіни,I-object_type
1270,116,O
1271,см,O
1272,Категорія,O
1273,Фрагмент,O
1274,напису,I-preservation_state
1275,Категорія,O
1276,Молитовний,O
1277,напис,I-inscription_type
1278,Графіті,B-inscription
1279,№,O
1280,4328,O
1281,табл,O
1282,СVІІІ,O
1283,6,O
1284,розташування,O
1285,Категорія,O
1286,Молитовний,O
1287,напис,I-inscription_type
1288,Датування,B-dating_criteria
1289,Друге,O
1290,десятиліття,O
1291,ХІ,O
1292,ст.,O
1293,за,O
1294,особливостями,O
1295,розташування,O
1296,Датування,B-dating_criteria
1297,Друга,O
1298,чверть,O
1299,XI,O
1300,кінець,O
1301,XVI,O
1302,ст.,O
1303,за,O
1304,формою,O
1305,прорізів,O
1306,Публікації,O
1307,В.,O
1308,Корнієнко87,O
1309,Категорія,O
1310,Молитовний,O
1311,напис,I-inscription_type
1312,Графіті,B-inscription
1313,№,O
1314,612,O
1315,табл,O
1316,VІ,O
1317,1,O
1318,З,O
1319,розбивкою,O
1320,на,I-inscription_type
1321,слова,O
1322,та,O
1323,відновленням,O
1324,втрачених,O
1325,фрагментів,O
1326,наявний,O
1327,текст,O
1328,ви-,O
1329,Публікації,O
1330,В.,O
1331,Корнієнко110,O
1332,Святі,O
1333,мученики,O
1334,моліть,O
1335,за,O
1336,Датування,B-dating_criteria
1337,Кінець,O
1338,XVІ,O
1339,кінець,O
1340,XVІI,O
1341,ст.,O
1342,за,O
1343,скорописними,O
1344,формами,O
1345,написання,O
1346,Датування,B-dating_criteria
1347,Друга,O
1348,чверть,O
1349,кінець,O
1350,XI,O
1351,ст.,O
1352,за,O
1353,особливостями,O
1354,розташування,O
1355,Категорія,O
1356,Окремі,O
1357,слова,O
1358,та,O
1359,словосполучення,O
1360,Мармурова,B-object_type
1361,колона,I-object_type
1362,довжиною,O
1363,близько,O
1364,3	5,O
1365,м,O
1366,що,O
1367,нині,O
1368,експонується,O
1369,в,O
1370,північній,O
1371,Зважаючи,O
1372,на,I-inscription_type
1373,колективний,O
1374,характер,O
1375,молитовного,O
1376,звернення,I-inscription_type
1377,та,O
1378,вживання,O
1379,у,I-object_type
1380,тексті,O
1381,госъподпо,O
1382,|,O
1383,моꙁрабоусво,O
1384,|,O
1385,емоугавърило,O
1386,|,O
1387,в,O
1388,Опис,B-inscription
1389,Поверхня,O
1390,стіни,I-object_type
1391,в,O
1392,місці,O
1393,розташування,O
1394,напису,I-preservation_state
1395,пошкоджена,O
1396,права,O
1397,частина,I-other
1398,Графіті,B-inscription
1399,№,O
1400,4302,O
1401,табл,O
1402,СІІІ,O
1403,1,O
1404,чи,O
1405,опуклою,O
1406,петлею,O
1407,в,O
1408,з,I-object_type
1409,округлою,O
1410,нижньою,O
1411,петлею,O
1412,яка,O
1413,менша,O
1414,за,O
1415,верхню,O
1416,нахиленої,O
1417,Опис,B-inscription
1418,Напис,O
1419,практично,O
1420,повністю,O
1421,знищений,O
1422,у,I-object_type
1423,верхньому,O
1424,рядку,O
1425,помітні,O
1426,літери,O
1427,формами,O
1428,написання,O
1429,літер,O
1430,Датування,B-dating_criteria
1431,Друга,O
1432,чверть,O
1433,ХІI,O
1434,кінець,O
1435,XVI,O
1436,ст.,O
1437,за,O
1438,формою,O
1439,прорізів,O
1440,вертикальних,O
1441,засічок,O
1442,свідчить,O
1443,що,O
1444,лічба,O
1445,так,O
1446,і,O
1447,не,O
1448,була,O
1449,розпочата,O
1450,За,O
1451,особливостями,O
1452,Категорія,O
1453,Пам'ятний,O
1454,напис,I-inscription_type
1455,Графіті,B-inscription
1456,№,O
1457,507,O
1458,табл,O
1459,LХІV,O
1460,1,O
1461,hyc,O
1462,fuit,O
1463,Albertus,O
1464,Wisensky,O
1465,|,O
1466,anno,O
1467,d,O
1468,ini,O
1469,1582,O
1470,Графіті,B-inscription
1471,№,O
1472,717,O
1473,табл,O
1474,ХСІІ,O
1475,1,O
1476,них,O
1477,поминальних,O
1478,служб,O
1479,Точну,O
1480,кількість,O
1481,вертикальних,O
1482,засічок,O
1483,з,I-object_type
1484,яких,O
1485,він,O
1486,склада-,O
1487,Розташування,B-other
1488,Висота,O
1489,від,O
1490,сучасної,O
1491,підлоги,O
1492,162,O
1493,см,O
1494,відстань,O
1495,від,O
1496,лівого,O
1497,кута,O
1498,рема,O
1499,смоленський,O
1500,чашник,O
1501,Казимир,O
1502,Ягоцький,O
1503,згадуються,O
1504,з,I-object_type
1505,кінця,O
1506,XVII,O
1507,ст.,O
1508,1688,O
1509,р.)83,O
1510,Категорія,O
1511,Хрести,O
1512,монограми,O
1513,теонімограми,O
1514,Категорія,O
1515,Молитовний,O
1516,напис,I-inscription_type
1517,Графіті,B-inscription
1518,№,O
1519,545,O
1520,табл,O
1521,ХLVІI,O
1522,2,O
1523,фресці,I-inscription_type
1524,з,I-object_type
1525,зображенням,I-object_type
1526,орнаменту,O
1527,№,O
1528,№,O
1529,484–493,O
1530,601–608,O
1531,3,O
1532,на,I-inscription_type
1533,фресці,I-inscription_type
1534,з,I-object_type
1535,зобра-,O
1536,Охъ,O
1537,м҃,O
1538,прости,O
1539,мѧ,O
1540,Късъмоу,O
1541,охъ,O
1542,петлею,O
1543,Розташування,B-other
1544,Знаходиться,O
1545,на,I-inscription_type
1546,західній,O
1547,стіні,I-object_type
1548,під,I-object_type
1549,нішею,I-object_type
1550,з,I-object_type
1551,малюнком,O
1552,проквіт-,O
1553,Опис,B-inscription
1554,Початок,O
1555,напису,I-preservation_state
1556,знищений,O
1557,обвалом,O
1558,тиньку,O
1559,наявні,O
1560,чотири,O
1561,літери,O
1562,можна,O
1563,Розташування,B-other
1564,Висота,O
1565,від,O
1566,сучасної,O
1567,підлоги,O
1568,97,O
1569,см,O
1570,відстань,O
1571,від,O
1572,лівого,O
